,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Burmeistersgade 25, 1. th 1429 København K ",3900000.0,2022-01-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/730654/86BEB9ED-34C2-4B1A-A104-6E89252D7D04,https://www.boliga.dk//bbrinfo/86beb9ed-34c2-4b1a-a104-6e89252d7d04,"(55.67604457, 12.59905049)","Burmeistersgade 25, 1. th, 1429 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
1," Burmeistersgade 25, 1. th 1429 København K ",3200000.0,2018-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/730654/86BEB9ED-34C2-4B1A-A104-6E89252D7D04,https://www.boliga.dk//bbrinfo/86beb9ed-34c2-4b1a-a104-6e89252d7d04,"(55.67604457, 12.59905049)","Burmeistersgade 25, 1. th, 1429 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
2," Burmeistersgade 25, 1. th 1429 København K ",2450000.0,2018-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/730654/86BEB9ED-34C2-4B1A-A104-6E89252D7D04,https://www.boliga.dk//bbrinfo/86beb9ed-34c2-4b1a-a104-6e89252d7d04,"(55.67604457, 12.59905049)","Burmeistersgade 25, 1. th, 1429 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
7," Dronningensgade 42, 1. 3 1420 København K ",3650000.0,2022-01-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/104133/ADC6B506-F16C-412F-B0B7-4607F1923B83,https://www.boliga.dk//bbrinfo/adc6b506-f16c-412f-b0b7-4607f1923b83,"(55.67152818, 12.59138549)","Dronningensgade 42, 1. 1, 1420 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,54, 1,54,Vandskyllende toilet i enheden,2, 1,-
8," Dronningensgade 42, 1. 3 1420 København K ",2500000.0,2020-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/104133/ADC6B506-F16C-412F-B0B7-4607F1923B83,https://www.boliga.dk//bbrinfo/adc6b506-f16c-412f-b0b7-4607f1923b83,"(55.67152818, 12.59138549)","Dronningensgade 42, 1. 1, 1420 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,54, 1,54,Vandskyllende toilet i enheden,2, 1,-
11," Andreas Bjørns Gade 22, 1. th 1428 København K ",1800000.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/729508/F5A3E823-E321-4762-A987-63916FECFE56,https://www.boliga.dk//bbrinfo/f5a3e823-e321-4762-a987-63916fecfe56,"(55.67604454, 12.59842337)","Andreas Bjørns Gade 22, 1. th, 1428 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
12," Andreas Bjørns Gade 22, 1. th 1428 København K ",2900000.0,2019-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/729508/F5A3E823-E321-4762-A987-63916FECFE56,https://www.boliga.dk//bbrinfo/f5a3e823-e321-4762-a987-63916fecfe56,"(55.67604454, 12.59842337)","Andreas Bjørns Gade 22, 1. th, 1428 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
13," Andreas Bjørns Gade 22, 1. th 1428 København K ",1825000.0,2015-04-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/729508/F5A3E823-E321-4762-A987-63916FECFE56,https://www.boliga.dk//bbrinfo/f5a3e823-e321-4762-a987-63916fecfe56,"(55.67604454, 12.59842337)","Andreas Bjørns Gade 22, 1. th, 1428 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
14," Andreas Bjørns Gade 22, 1. th 1428 København K ",1625000.0,2010-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/729508/F5A3E823-E321-4762-A987-63916FECFE56,https://www.boliga.dk//bbrinfo/f5a3e823-e321-4762-a987-63916fecfe56,"(55.67604454, 12.59842337)","Andreas Bjørns Gade 22, 1. th, 1428 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
15," Andreas Bjørns Gade 22, 1. th 1428 København K ",1325000.0,2007-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/729508/F5A3E823-E321-4762-A987-63916FECFE56,https://www.boliga.dk//bbrinfo/f5a3e823-e321-4762-a987-63916fecfe56,"(55.67604454, 12.59842337)","Andreas Bjørns Gade 22, 1. th, 1428 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
