,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Grundtvigsvej 4, 3. th 1864 Frederiksberg C ",6295000.0,2022-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/133960/6DADB09F-E0F6-4272-9896-5A6BD6B9394A,https://www.boliga.dk//bbrinfo/6dadb09f-e0f6-4272-9896-5a6bd6b9394a,"(55.67804517, 12.54147798)","Grundtvigsvej 4, 1864 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,95, 1,95,Vandskyllende toilet i enheden,4, 1,400 V el fra værk
1," Grundtvigsvej 4, 3. th 1864 Frederiksberg C ",4750000.0,2018-10-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/133960/6DADB09F-E0F6-4272-9896-5A6BD6B9394A,https://www.boliga.dk//bbrinfo/6dadb09f-e0f6-4272-9896-5a6bd6b9394a,"(55.67804517, 12.54147798)","Grundtvigsvej 4, 1864 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,95, 1,95,Vandskyllende toilet i enheden,4, 1,400 V el fra værk
2," Grundtvigsvej 4, 3. th 1864 Frederiksberg C ",1827500.0,2017-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/133960/6DADB09F-E0F6-4272-9896-5A6BD6B9394A,https://www.boliga.dk//bbrinfo/6dadb09f-e0f6-4272-9896-5a6bd6b9394a,"(55.67804517, 12.54147798)","Grundtvigsvej 4, 1864 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,95, 1,95,Vandskyllende toilet i enheden,4, 1,400 V el fra værk
3," Bianco Lunos Alle 4B, st 1868 Frederiksberg C ",3550000.0,2022-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/186746/E4EA6AB3-202A-42F3-BF8F-2E179D10269F,https://www.boliga.dk//bbrinfo/e4ea6ab3-202a-42f3-bf8f-2e179d10269f,"(55.67738474, 12.54064345)","Bianco Lunos Alle 4B, st., 1868 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,68, 1,68,Vandskyllende toilet i enheden,2, 1,-
4," Christian Winthers Vej 4C, 1. tv 1860 Frederiksberg C ",7318750.0,2022-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/193130/E1101875-EF27-4BEC-AA63-16849D930DEC,https://www.boliga.dk//bbrinfo/e1101875-ef27-4bec-aa63-16849d930dec,"(55.68020176, 12.53480209)","Christian Winthers Vej 4C, 1. th, 1860 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,106, 1,106,Vandskyllende toilet i enheden,4, 1,-
5," Christian Winthers Vej 4C, 1. tv 1860 Frederiksberg C ",5742000.0,2018-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/193130/E1101875-EF27-4BEC-AA63-16849D930DEC,https://www.boliga.dk//bbrinfo/e1101875-ef27-4bec-aa63-16849d930dec,"(55.68020176, 12.53480209)","Christian Winthers Vej 4C, 1. th, 1860 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,106, 1,106,Vandskyllende toilet i enheden,4, 1,-
6," Christian Winthers Vej 4C, 1. tv 1860 Frederiksberg C ",4850000.0,2015-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/193130/E1101875-EF27-4BEC-AA63-16849D930DEC,https://www.boliga.dk//bbrinfo/e1101875-ef27-4bec-aa63-16849d930dec,"(55.68020176, 12.53480209)","Christian Winthers Vej 4C, 1. th, 1860 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,106, 1,106,Vandskyllende toilet i enheden,4, 1,-
7," Christian Winthers Vej 4C, 1. tv 1860 Frederiksberg C ",3665000.0,2007-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/193130/E1101875-EF27-4BEC-AA63-16849D930DEC,https://www.boliga.dk//bbrinfo/e1101875-ef27-4bec-aa63-16849d930dec,"(55.68020176, 12.53480209)","Christian Winthers Vej 4C, 1. th, 1860 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,106, 1,106,Vandskyllende toilet i enheden,4, 1,-
12," Ceresvej 12, 1 1863 Frederiksberg C ",13281500.0,2022-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/200668/93EB8EDD-3FA2-427F-9DDC-568692F1B6F0,https://www.boliga.dk//bbrinfo/93eb8edd-3fa2-427f-9ddc-568692f1b6f0,"(55.67977781, 12.53766711)","Ceresvej 12, 1863 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,196, 1,196,Vandskyllende toilet i enheden,6, 2,-
14," Henrik Steffens Vej 3, 2. tv 1866 Frederiksberg C ",8795000.0,2022-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/57229/93285378-4094-499C-86F7-18CD93920CCC,https://www.boliga.dk//bbrinfo/93285378-4094-499c-86f7-18cd93920ccc,"(55.67785063, 12.53791625)","Henrik Steffens Vej 3, 3. th, 1866 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,111, 1,111,Vandskyllende toilet i enheden,4, 1,-
