,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0, Hjortespringparken 22 2730 Herlev ,1083750.0,2022-04-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/163/17113/34BD1838-FC76-4B81-9562-B1B1C6D7CFBB,https://www.boliga.dk//bbrinfo/34bd1838-fc76-4b81-9562-b1b1c6d7cfbb,"(55.74800683, 12.42214061)","Hjortespringparken 22, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,168, 2,168,Vandskyllende toilet i enheden,6, 2,-
1, Langdyssen 82 2730 Herlev ,3800000.0,2022-04-01, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/163/28174/CC87FC94-B710-45E9-842F-FA17C7CBB2C9,https://www.boliga.dk//bbrinfo/cc87fc94-b710-45e9-842f-fa17c7cbb2c9,"(55.73844849, 12.44642856)","Langdyssen 82, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,76, 1,76,Vandskyllende toilet i enheden,2, 1,-
2, Langdyssen 82 2730 Herlev ,3500000.0,2021-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/28174/CC87FC94-B710-45E9-842F-FA17C7CBB2C9,https://www.boliga.dk//bbrinfo/cc87fc94-b710-45e9-842f-fa17c7cbb2c9,"(55.73844849, 12.44642856)","Langdyssen 82, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,76, 1,76,Vandskyllende toilet i enheden,2, 1,-
3, Tvedvangen 96 2730 Herlev ,4950000.0,2022-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/44056/B422A46D-1808-4D8A-8B70-6B577FFCAE96,https://www.boliga.dk//bbrinfo/b422a46d-1808-4d8a-8b70-6b577ffcae96,"(55.72995656, 12.4302938)","Tvedvangen 96, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,133, 2,133,Vandskyllende toilet i enheden,4, 2,-
4, Tvedvangen 96 2730 Herlev ,3375000.0,2015-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/44056/B422A46D-1808-4D8A-8B70-6B577FFCAE96,https://www.boliga.dk//bbrinfo/b422a46d-1808-4d8a-8b70-6b577ffcae96,"(55.72995656, 12.4302938)","Tvedvangen 96, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,133, 2,133,Vandskyllende toilet i enheden,4, 2,-
6, Mosebyvej 49 2730 Herlev ,1525000.0,2022-05-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/163/31248/C1391D17-285C-4C7D-A248-BB23033683C2,https://www.boliga.dk//bbrinfo/c1391d17-285c-4c7d-a248-bb23033683c2,"(55.74768442, 12.42158854)","Mosebyvej 49, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,171, 1,171,Vandskyllende toilet i enheden,6, 1,-
8, Dalbugten 34 2730 Herlev ,4600000.0,2022-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/4062/201C2A03-66E6-4C4A-9C82-4C1B41023F63,https://www.boliga.dk//bbrinfo/201c2a03-66e6-4c4a-9c82-4c1b41023f63,"(55.73740567, 12.41231075)","Dalbugten 34, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,136, 2,136,Vandskyllende toilet i enheden,6, 2,-
9, Dalbugten 34 2730 Herlev ,1062500.0,2020-05-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/163/4062/201C2A03-66E6-4C4A-9C82-4C1B41023F63,https://www.boliga.dk//bbrinfo/201c2a03-66e6-4c4a-9c82-4c1b41023f63,"(55.73740567, 12.41231075)","Dalbugten 34, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,136, 2,136,Vandskyllende toilet i enheden,6, 2,-
10, Dalbugten 34 2730 Herlev ,3025000.0,2015-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/4062/201C2A03-66E6-4C4A-9C82-4C1B41023F63,https://www.boliga.dk//bbrinfo/201c2a03-66e6-4c4a-9c82-4c1b41023f63,"(55.73740567, 12.41231075)","Dalbugten 34, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,136, 2,136,Vandskyllende toilet i enheden,6, 2,-
11, Herlev Hovedgade 11A 2730 Herlev ,675000.0,2022-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/55481/97B3650E-E3C6-4604-9AB1-85B51954EE51,https://www.boliga.dk//bbrinfo/97b3650e-e3c6-4604-9ab1-85b51954ee51,"(55.71718599, 12.45512628)","Herlev Hovedgade 11A, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,4, 1,-
12, Herlev Hovedgade 11A 2730 Herlev ,2295000.0,2007-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/55481/97B3650E-E3C6-4604-9AB1-85B51954EE51,https://www.boliga.dk//bbrinfo/97b3650e-e3c6-4604-9ab1-85b51954ee51,"(55.71718599, 12.45512628)","Herlev Hovedgade 11A, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,4, 1,-
14, Hjortespringparken 40 2730 Herlev ,4750000.0,2022-03-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/17326/50FEB175-4B5E-4357-B699-D9FADE5286E2,https://www.boliga.dk//bbrinfo/50feb175-4b5e-4357-b699-d9fade5286e2,"(55.74792324, 12.42330366)","Hjortespringparken 40, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,168, 2,168,Vandskyllende toilet i enheden,6, 2,-
15, Hjortespringparken 40 2730 Herlev ,3825000.0,2016-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/17326/50FEB175-4B5E-4357-B699-D9FADE5286E2,https://www.boliga.dk//bbrinfo/50feb175-4b5e-4357-b699-d9fade5286e2,"(55.74792324, 12.42330366)","Hjortespringparken 40, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,168, 2,168,Vandskyllende toilet i enheden,6, 2,-
19," Vindebyvej 1, st. tv 2730 Herlev ",1515000.0,2022-03-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/46962/4CADA35B-D36E-4774-8873-6DF2FD6E551E,https://www.boliga.dk//bbrinfo/4cada35b-d36e-4774-8873-6df2fd6e551e,"(55.72515234, 12.43041047)","Vindebyvej 1, 1. th, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
20," Vindebyvej 1, st. tv 2730 Herlev ",895000.0,2015-07-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/46962/4CADA35B-D36E-4774-8873-6DF2FD6E551E,https://www.boliga.dk//bbrinfo/4cada35b-d36e-4774-8873-6df2fd6e551e,"(55.72515234, 12.43041047)","Vindebyvej 1, 1. th, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
21," Vindebyvej 1, st. tv 2730 Herlev ",1180000.0,2007-10-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/46962/4CADA35B-D36E-4774-8873-6DF2FD6E551E,https://www.boliga.dk//bbrinfo/4cada35b-d36e-4774-8873-6df2fd6e551e,"(55.72515234, 12.43041047)","Vindebyvej 1, 1. th, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
24, Meteorvej 27B 2730 Herlev ,2995000.0,2022-03-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/30187/5FDDE9D3-1C3C-44D9-A60B-D2D6292D12F2,https://www.boliga.dk//bbrinfo/5fdde9d3-1c3c-44d9-a60b-d2d6292d12f2,"(55.73706249, 12.43762489)","Meteorvej 27B, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,97, 1,97,Vandskyllende toilet i enheden,3, 1,-
25, Kastaniedal 7F 2730 Herlev ,3495000.0,2022-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/61591/8643EB11-F811-4942-B531-E5F50580720F,https://www.boliga.dk//bbrinfo/8643eb11-f811-4942-b531-e5f50580720f,"(55.72743114, 12.41753457)","Kastaniedal 7F, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,100, 1,100,Vandskyllende toilet i enheden,4, 2,-
26, J E Pitznersvej 55I 2730 Herlev ,700000.0,2022-08-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/163/61725/A8475700-F02D-403A-A87E-D4688614801C,https://www.boliga.dk//bbrinfo/a8475700-f02d-403a-a87e-d4688614801c,"(55.72566047, 12.42241719)","J E Pitznersvej 55I, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,121, 2,121,Vandskyllende toilet i enheden,5, 2,-
27, J E Pitznersvej 55I 2730 Herlev ,3995000.0,2019-10-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/61725/A8475700-F02D-403A-A87E-D4688614801C,https://www.boliga.dk//bbrinfo/a8475700-f02d-403a-a87e-d4688614801c,"(55.72566047, 12.42241719)","J E Pitznersvej 55I, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,121, 2,121,Vandskyllende toilet i enheden,5, 2,-
28, J E Pitznersvej 55I 2730 Herlev ,3000000.0,2015-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/61725/A8475700-F02D-403A-A87E-D4688614801C,https://www.boliga.dk//bbrinfo/a8475700-f02d-403a-a87e-d4688614801c,"(55.72566047, 12.42241719)","J E Pitznersvej 55I, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,121, 2,121,Vandskyllende toilet i enheden,5, 2,-
29, Borgerdiget 136 2730 Herlev ,2587500.0,2022-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/2582/595E7768-A585-4A85-BDA7-4587B90588F3,https://www.boliga.dk//bbrinfo/595e7768-a585-4a85-bda7-4587b90588f3,"(55.73339893, 12.43335228)","Borgerdiget 136, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,172, 2,172,Vandskyllende toilet i enheden,5, 2,-
31, Snedronningvej 30 2730 Herlev ,5860000.0,2022-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/37637/2E45CE8D-DAFC-4DED-A7E7-F146DC7F881E,https://www.boliga.dk//bbrinfo/2e45ce8d-dafc-4ded-a7e7-f146dc7f881e,"(55.72468945, 12.44754295)","Snedronningvej 30, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,102, 1,102,Vandskyllende toilet i enheden,4, 1,-
32, Hanevangen 9 2730 Herlev ,9000000.0,2022-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/163/11182/334D5D3B-962A-4574-9AE1-B61B356D5801,https://www.boliga.dk//bbrinfo/334d5d3b-962a-4574-9ae1-b61b356d5801,"(55.75646388, 12.3969528)","Hanevangen 9, 2730 Herlev",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,182, 3,182,Vandskyllende toilet i enheden,6, 3,-
