,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Norsvej 7, 1. mf 1916 Frederiksberg C ",5905000.0,2022-03-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/214103/F3C20A8A-C9E0-4827-B562-FDD6D3FCD97E,https://www.boliga.dk//bbrinfo/f3c20a8a-c9e0-4827-b562-fdd6d3fcd97e,"(55.67786419, 12.55615076)","Norsvej 7, 1. mf, 1916 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,101, 1,101,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
1," Norsvej 7, 1. mf 1916 Frederiksberg C ",2600000.0,2015-05-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/147/214103/F3C20A8A-C9E0-4827-B562-FDD6D3FCD97E,https://www.boliga.dk//bbrinfo/f3c20a8a-c9e0-4827-b562-fdd6d3fcd97e,"(55.67786419, 12.55615076)","Norsvej 7, 1. mf, 1916 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,101, 1,101,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
5," Danas Plads 23, 2. tv 1915 Frederiksberg C ",9995000.0,2022-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/21321/3D19D67C-ED8A-4A1A-B2AF-548478B702ED,https://www.boliga.dk//bbrinfo/3d19d67c-ed8a-4a1a-b2af-548478b702ed,"(55.67886763, 12.55176831)","Danas Plads 23, kl., 1915 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,141, 1,141,Vandskyllende toilet i enheden,4, 1,-
6," Danas Plads 23, 2. tv 1915 Frederiksberg C ",6950000.0,2019-02-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/21321/3D19D67C-ED8A-4A1A-B2AF-548478B702ED,https://www.boliga.dk//bbrinfo/3d19d67c-ed8a-4a1a-b2af-548478b702ed,"(55.67886763, 12.55176831)","Danas Plads 23, kl., 1915 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,141, 1,141,Vandskyllende toilet i enheden,4, 1,-
7," Danas Plads 23, 2. tv 1915 Frederiksberg C ",4625000.0,2014-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/21321/3D19D67C-ED8A-4A1A-B2AF-548478B702ED,https://www.boliga.dk//bbrinfo/3d19d67c-ed8a-4a1a-b2af-548478b702ed,"(55.67886763, 12.55176831)","Danas Plads 23, kl., 1915 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,141, 1,141,Vandskyllende toilet i enheden,4, 1,-
9," Danasvej 6A, 1 1910 Frederiksberg C ",7100000.0,2021-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/21666/1A31751E-2A9B-4D28-B178-23A4F47D5895,https://www.boliga.dk//bbrinfo/1a31751e-2a9b-4d28-b178-23a4f47d5895,"(55.67829348, 12.55550198)","Danasvej 6A, 1910 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,119, 1,119,Vandskyllende toilet i enheden,4, 1,-
10," Danas Plads 17, 5. th 1915 Frederiksberg C ",4900000.0,2021-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/21070/E417FDAF-AB3C-4724-BB54-03BDB2F97A30,https://www.boliga.dk//bbrinfo/e417fdaf-ab3c-4724-bb54-03bdb2f97a30,"(55.67861617, 12.55285673)","Danas Plads 17, 1915 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,90, 1,90,Vandskyllende toilet i enheden,3, 1,-
15," Danas Plads 15, 3. th 1915 Frederiksberg C ",5450000.0,2021-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/205988/D405AC98-A238-43B6-855E-A591CB58AE04,https://www.boliga.dk//bbrinfo/d405ac98-a238-43b6-855e-a591cb58ae04,"(55.67853707, 12.55315652)","Danas Plads 15, 1. th, 1915 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,2, 1,-
16," Danas Plads 15, 3. th 1915 Frederiksberg C ",4280000.0,2020-07-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/205988/D405AC98-A238-43B6-855E-A591CB58AE04,https://www.boliga.dk//bbrinfo/d405ac98-a238-43b6-855e-a591cb58ae04,"(55.67853707, 12.55315652)","Danas Plads 15, 1. th, 1915 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,2, 1,-
17," Danas Plads 15, 3. th 1915 Frederiksberg C ",3900000.0,2017-09-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/205988/D405AC98-A238-43B6-855E-A591CB58AE04,https://www.boliga.dk//bbrinfo/d405ac98-a238-43b6-855e-a591cb58ae04,"(55.67853707, 12.55315652)","Danas Plads 15, 1. th, 1915 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,2, 1,-
