,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0, Granvænget 1 2680 Solrød Strand ,1080000.0,2022-01-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/269/14873/59170B36-FC42-487C-AA10-EAA60753F4DC,https://www.boliga.dk//bbrinfo/59170b36-fc42-487c-aa10-eaa60753f4dc,"(55.52246926, 12.21394528)","Granvænget 1, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,131, 1,131,Vandskyllende toilet i enheden,3, 1,-
2, Tryllevældevej 12 2680 Solrød Strand ,15850000.0,2022-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/50101/9B222805-5CF6-44E7-8F33-FF4943D95D10,https://www.boliga.dk//bbrinfo/9b222805-5cf6-44e7-8f33-ff4943d95d10,"(55.5465238, 12.24262786)","Tryllevældevej 12, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,145, 1,145,Vandskyllende toilet i enheden,6, 1,400 V el fra værk
3, Tryllevældevej 12 2680 Solrød Strand ,1858133.0,2016-01-03, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/269/50101/9B222805-5CF6-44E7-8F33-FF4943D95D10,https://www.boliga.dk//bbrinfo/9b222805-5cf6-44e7-8f33-ff4943d95d10,"(55.5465238, 12.24262786)","Tryllevældevej 12, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,145, 1,145,Vandskyllende toilet i enheden,6, 1,400 V el fra værk
4, Søndre Kildetoften 6 2680 Solrød Strand ,1742500.0,2022-04-10, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/269/41080/7B4133B6-0A9D-4217-BE32-BB0595FF0C9F,https://www.boliga.dk//bbrinfo/7b4133b6-0a9d-4217-be32-bb0595ff0c9f,"(55.53158541, 12.20055971)","Søndre Kildetoften 6, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,149, 1,149,Vandskyllende toilet i enheden,5, 1,-
5, Søndre Kildetoften 6 2680 Solrød Strand ,1742500.0,2022-01-20, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/269/41080/7B4133B6-0A9D-4217-BE32-BB0595FF0C9F,https://www.boliga.dk//bbrinfo/7b4133b6-0a9d-4217-be32-bb0595ff0c9f,"(55.53158541, 12.20055971)","Søndre Kildetoften 6, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,149, 1,149,Vandskyllende toilet i enheden,5, 1,-
6, Lyngtoften 6 2680 Solrød Strand ,1331667.0,2022-04-08, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/269/29781/5E1F1AB4-1874-4E3B-B599-10897F890223,https://www.boliga.dk//bbrinfo/5e1f1ab4-1874-4e3b-b599-10897f890223,"(55.52223773, 12.21864324)","Lyngtoften 6, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,155, 1,155,Vandskyllende toilet i enheden,6, 2,-
8, Maglekæret 29D 2680 Solrød Strand ,1062000.0,2022-04-06, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/269/80310/DF58A81A-7A8B-41DB-A29A-6542E2687489,https://www.boliga.dk//bbrinfo/df58a81a-7a8b-41db-a29a-6542e2687489,"(55.52240108, 12.20576718)","Maglekæret 29D, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
9, Maglekæret 29D 2680 Solrød Strand ,1775000.0,2016-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/80310/DF58A81A-7A8B-41DB-A29A-6542E2687489,https://www.boliga.dk//bbrinfo/df58a81a-7a8b-41db-a29a-6542e2687489,"(55.52240108, 12.20576718)","Maglekæret 29D, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
10, Maglekæret 29D 2680 Solrød Strand ,1390000.0,2010-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/80310/DF58A81A-7A8B-41DB-A29A-6542E2687489,https://www.boliga.dk//bbrinfo/df58a81a-7a8b-41db-a29a-6542e2687489,"(55.52240108, 12.20576718)","Maglekæret 29D, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
11, Maglekæret 29D 2680 Solrød Strand ,1845000.0,2007-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/80310/DF58A81A-7A8B-41DB-A29A-6542E2687489,https://www.boliga.dk//bbrinfo/df58a81a-7a8b-41db-a29a-6542e2687489,"(55.52240108, 12.20576718)","Maglekæret 29D, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
15, Åvej 3 2680 Solrød Strand ,3800000.0,2022-04-05, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/269/60085/F37F7A32-3323-465D-A42E-B4C639932893,https://www.boliga.dk//bbrinfo/f37f7a32-3323-465d-a42e-b4c639932893,"(55.55054065, 12.23799642)","Åvej 3, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,169, 1,169,Vandskyllende toilet i enheden,8, 1,400 V el fra værk
18, Vasegården 50 2680 Solrød Strand ,3250000.0,2022-04-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/74299/1FDFF2F1-EC4A-443A-B013-AFD1BE26DB74,https://www.boliga.dk//bbrinfo/1fdff2f1-ec4a-443a-b013-afd1be26db74,"(55.54403248, 12.21966396)","Vasegården 50, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,117, 2,117,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
19, Vasegården 50 2680 Solrød Strand ,2540000.0,2019-09-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/74299/1FDFF2F1-EC4A-443A-B013-AFD1BE26DB74,https://www.boliga.dk//bbrinfo/1fdff2f1-ec4a-443a-b013-afd1be26db74,"(55.54403248, 12.21966396)","Vasegården 50, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,117, 2,117,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
20, Vasegården 50 2680 Solrød Strand ,2295000.0,2016-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/74299/1FDFF2F1-EC4A-443A-B013-AFD1BE26DB74,https://www.boliga.dk//bbrinfo/1fdff2f1-ec4a-443a-b013-afd1be26db74,"(55.54403248, 12.21966396)","Vasegården 50, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,117, 2,117,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
21, Birkelyngen 8 2680 Solrød Strand ,6850000.0,2022-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/2190/3CD41D4F-E8B2-4999-966C-D6D091AAD997,https://www.boliga.dk//bbrinfo/3cd41d4f-e8b2-4999-966c-d6d091aad997,"(55.51540952, 12.20886947)","Birkelyngen 8, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,162, 1,162,Vandskyllende toilet i enheden,7, 2,-
22, Birkelyngen 8 2680 Solrød Strand ,3695000.0,2016-07-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/2190/3CD41D4F-E8B2-4999-966C-D6D091AAD997,https://www.boliga.dk//bbrinfo/3cd41d4f-e8b2-4999-966c-d6d091aad997,"(55.51540952, 12.20886947)","Birkelyngen 8, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,162, 1,162,Vandskyllende toilet i enheden,7, 2,-
26, Vestre Grænsevej 9 2680 Solrød Strand ,4461500.0,2022-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/269/52651/4FA400E2-DBD3-4479-AA88-ACF0EDE4369E,https://www.boliga.dk//bbrinfo/4fa400e2-dbd3-4479-aa88-acf0ede4369e,"(55.52511494, 12.21501418)","Vestre Grænsevej 9, 2680 Solrød Strand",0269,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,160, 2,160,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
