,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Søborg Hovedgade 205, 1. 4 2860 Søborg ",2799000.0,2022-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/159/157997/3D651648-C50F-4B6A-B1C1-7658B12EE11C,https://www.boliga.dk//bbrinfo/3d651648-c50f-4b6a-b1c1-7658b12ee11c,"(55.74191267, 12.49687483)","Søborg Hovedgade 205, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,81, 1,81,Vandskyllende toilet i enheden,3, 1,-
1," Søborg Hovedgade 205, 1. 4 2860 Søborg ",2171000.0,2016-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/159/157997/3D651648-C50F-4B6A-B1C1-7658B12EE11C,https://www.boliga.dk//bbrinfo/3d651648-c50f-4b6a-b1c1-7658b12ee11c,"(55.74191267, 12.49687483)","Søborg Hovedgade 205, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,81, 1,81,Vandskyllende toilet i enheden,3, 1,-
4," Niels Finsens Alle 100, 4. b 2860 Søborg ",1050000.0,2022-04-20, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/159/161277/85B30381-3AA6-48F0-8A50-F494A0C010E3,https://www.boliga.dk//bbrinfo/85b30381-3aa6-48f0-8a50-f494a0c010e3,"(55.73649771, 12.51149661)","Niels Finsens Alle 100, 1. a, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,68, 1,68,Vandskyllende toilet i enheden,2, 1,-
5," Niels Finsens Alle 100, 4. b 2860 Søborg ",1500000.0,2017-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/159/161277/85B30381-3AA6-48F0-8A50-F494A0C010E3,https://www.boliga.dk//bbrinfo/85b30381-3aa6-48f0-8a50-f494a0c010e3,"(55.73649771, 12.51149661)","Niels Finsens Alle 100, 1. a, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,68, 1,68,Vandskyllende toilet i enheden,2, 1,-
6," Niels Finsens Alle 100, 4. b 2860 Søborg ",1000000.0,2013-01-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/159/161277/85B30381-3AA6-48F0-8A50-F494A0C010E3,https://www.boliga.dk//bbrinfo/85b30381-3aa6-48f0-8a50-f494a0c010e3,"(55.73649771, 12.51149661)","Niels Finsens Alle 100, 1. a, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,68, 1,68,Vandskyllende toilet i enheden,2, 1,-
10, Maj Alle 17 2860 Søborg ,5350000.0,2022-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/159/87964/783AA117-6A7D-482D-A068-87CAEF0A890C,https://www.boliga.dk//bbrinfo/783aa117-6a7d-482d-a068-87caef0a890c,"(55.7270617, 12.46668943)","Maj Alle 17, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,135, 1,135,Vandskyllende toilet i enheden,5, 2,-
11, Maj Alle 17 2860 Søborg ,1332500.0,2015-05-01, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/159/87964/783AA117-6A7D-482D-A068-87CAEF0A890C,https://www.boliga.dk//bbrinfo/783aa117-6a7d-482d-a068-87caef0a890c,"(55.7270617, 12.46668943)","Maj Alle 17, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,135, 1,135,Vandskyllende toilet i enheden,5, 2,-
13," Søborg Hovedgade 152, 2. th 2860 Søborg ",1780000.0,2022-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/159/130185/7B9A9018-9BD9-46C8-A127-6764FCAD4CAB,https://www.boliga.dk//bbrinfo/7b9a9018-9bd9-46c8-a127-6764fcad4cab,"(55.73979306, 12.50462457)","Søborg Hovedgade 152, 1. th, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
14," Søborg Hovedgade 152, 2. th 2860 Søborg ",1500000.0,2019-01-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/159/130185/7B9A9018-9BD9-46C8-A127-6764FCAD4CAB,https://www.boliga.dk//bbrinfo/7b9a9018-9bd9-46c8-a127-6764fcad4cab,"(55.73979306, 12.50462457)","Søborg Hovedgade 152, 1. th, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
15," Søborg Hovedgade 152, 2. th 2860 Søborg ",875000.0,2012-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/159/130185/7B9A9018-9BD9-46C8-A127-6764FCAD4CAB,https://www.boliga.dk//bbrinfo/7b9a9018-9bd9-46c8-a127-6764fcad4cab,"(55.73979306, 12.50462457)","Søborg Hovedgade 152, 1. th, 2860 Søborg",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
