,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Gammelgårds Alle 31, 2. tv 2665 Vallensbæk Strand ",2330000.0,2022-09-01,frit,https://www.boliga.dk//salg/info/187/34922/6CCAC295-9955-4FEA-A1AB-66AD73E73DBC,https://www.boliga.dk//bbrinfo/6ccac295-9955-4fea-a1ab-66ad73e73dbc,"(55.62676802, 12.38219321)","Gammelgårds Alle 31, 1. th, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,3, 1,-
1," Gammelgårds Alle 31, 2. tv 2665 Vallensbæk Strand ",1650000.0,2018-05-01,frit,https://www.boliga.dk//salg/info/187/34922/6CCAC295-9955-4FEA-A1AB-66AD73E73DBC,https://www.boliga.dk//bbrinfo/6ccac295-9955-4fea-a1ab-66ad73e73dbc,"(55.62676802, 12.38219321)","Gammelgårds Alle 31, 1. th, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,3, 1,-
2," Vejlegårdsparken 90, 2. th 2665 Vallensbæk Strand ",2300000.0,2022-09-01,frit,https://www.boliga.dk//salg/info/187/29929/0F5FEEC0-B5E4-4C81-B16D-F8E0A8789125,https://www.boliga.dk//bbrinfo/0f5feec0-b5e4-4c81-b16d-f8e0a8789125,"(55.62563748, 12.37897274)","Vejlegårdsparken 90, 1. mf, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,91, 1,91,Vandskyllende toilet i enheden,3, 1,-
5, Vallensbæk Strandvej 6 2665 Vallensbæk Strand ,5000000.0,2022-03-01,frit,https://www.boliga.dk//salg/info/187/13119/FA770E31-C2C5-41A4-BED6-90BDE8A1B6E2,https://www.boliga.dk//bbrinfo/fa770e31-c2c5-41a4-bed6-90bde8a1b6e2,"(55.61847786, 12.40284192)","Vallensbæk Strandvej 6, 2665 Vallensbæk Strand",Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Værksted,Badeværelse i enheden,262, 1,112,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
8, Søholtparken 8 2660 Brøndby Strand ,3750000.0,2022-04-08,frit,https://www.boliga.dk//salg/info/153/66329/EE5153BB-B376-42B3-8A5C-AB57AB679FD8,https://www.boliga.dk//bbrinfo/ee5153bb-b376-42b3-8a5c-ab57ab679fd8,"(55.62700461, 12.40763431)","Søholtparken 8, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,111, 2,111,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
9, Søholtparken 8 2660 Brøndby Strand ,1990000.0,2011-04-01,frit,https://www.boliga.dk//salg/info/153/66329/EE5153BB-B376-42B3-8A5C-AB57AB679FD8,https://www.boliga.dk//bbrinfo/ee5153bb-b376-42b3-8a5c-ab57ab679fd8,"(55.62700461, 12.40763431)","Søholtparken 8, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,111, 2,111,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
13," Vejlegårdsparken 60, 1. 11 2665 Vallensbæk Strand ",1985000.0,2022-03-30,frit,https://www.boliga.dk//salg/info/187/42755/A41A04F2-D134-4A41-B2DF-DFF4B41A5887,https://www.boliga.dk//bbrinfo/a41a04f2-d134-4a41-b2df-dff4b41a5887,"(55.62474859, 12.38012784)","Vejlegårdsparken 60, 1. 11, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,2, 1,-
14," Vejlegårdsparken 60, 1. 11 2665 Vallensbæk Strand ",1595000.0,2020-01-01,frit,https://www.boliga.dk//salg/info/187/42755/A41A04F2-D134-4A41-B2DF-DFF4B41A5887,https://www.boliga.dk//bbrinfo/a41a04f2-d134-4a41-b2df-dff4b41a5887,"(55.62474859, 12.38012784)","Vejlegårdsparken 60, 1. 11, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,2, 1,-
15," Vejlegårdsparken 60, 1. 11 2665 Vallensbæk Strand ",950000.0,2011-09-02,frit,https://www.boliga.dk//salg/info/187/42755/A41A04F2-D134-4A41-B2DF-DFF4B41A5887,https://www.boliga.dk//bbrinfo/a41a04f2-d134-4a41-b2df-dff4b41a5887,"(55.62474859, 12.38012784)","Vejlegårdsparken 60, 1. 11, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,2, 1,-
16," Vejlegårdsparken 60, 1. 11 2665 Vallensbæk Strand ",510000.0,2007-02-01,,https://www.boliga.dk//salg/info/187/42755/A41A04F2-D134-4A41-B2DF-DFF4B41A5887,https://www.boliga.dk//bbrinfo/a41a04f2-d134-4a41-b2df-dff4b41a5887,"(55.62474859, 12.38012784)","Vejlegårdsparken 60, 1. 11, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,2, 1,-
18, Flintelunden 4 2660 Brøndby Strand ,3675000.0,2022-08-02,frit,https://www.boliga.dk//salg/info/153/68321/23FB53EA-B154-4C1F-91E8-B2AE0DEF425A,https://www.boliga.dk//bbrinfo/23fb53ea-b154-4c1f-91e8-b2ae0def425a,"(55.62846909, 12.4108732)","Flintelunden 4, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,101, 1,101,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
19, Flintelunden 4 2660 Brøndby Strand ,2975000.0,2019-07-01,frit,https://www.boliga.dk//salg/info/153/68321/23FB53EA-B154-4C1F-91E8-B2AE0DEF425A,https://www.boliga.dk//bbrinfo/23fb53ea-b154-4c1f-91e8-b2ae0def425a,"(55.62846909, 12.4108732)","Flintelunden 4, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,101, 1,101,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
20, Flintelunden 4 2660 Brøndby Strand ,2230000.0,2012-07-02,frit,https://www.boliga.dk//salg/info/153/68321/23FB53EA-B154-4C1F-91E8-B2AE0DEF425A,https://www.boliga.dk//bbrinfo/23fb53ea-b154-4c1f-91e8-b2ae0def425a,"(55.62846909, 12.4108732)","Flintelunden 4, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,101, 1,101,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
23, Holstedparken 65 2660 Brøndby Strand ,3375000.0,2022-04-02,frit,https://www.boliga.dk//salg/info/153/55904/F5E32058-6459-4087-8D52-3A1F934D89A0,https://www.boliga.dk//bbrinfo/f5e32058-6459-4087-8d52-3a1f934d89a0,"(55.62628817, 12.39729177)","Holstedparken 65, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,119, 1,119,Vandskyllende toilet i enheden,4, 2,-
24, Holstedparken 65 2660 Brøndby Strand ,2500000.0,2007-11-05,frit,https://www.boliga.dk//salg/info/153/55904/F5E32058-6459-4087-8D52-3A1F934D89A0,https://www.boliga.dk//bbrinfo/f5e32058-6459-4087-8d52-3a1f934d89a0,"(55.62628817, 12.39729177)","Holstedparken 65, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,119, 1,119,Vandskyllende toilet i enheden,4, 2,-
29, Rævebo 24 2665 Vallensbæk Strand ,3200000.0,2022-02-02,frit,https://www.boliga.dk//salg/info/187/46866/8B2083D2-9E7C-4E29-B0BF-9E29B846E4ED,https://www.boliga.dk//bbrinfo/8b2083d2-9e7c-4e29-b0bf-9e29b846e4ed,"(55.62447057, 12.39057578)","Rævebo 24, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,102, 1,102,Vandskyllende toilet i enheden,4, 2,-
30, Kollerupvej 2 2665 Vallensbæk Strand ,4250000.0,2022-05-01,frit,https://www.boliga.dk//salg/info/187/12708/3359937E-9FA9-449E-A569-26E70B1F2C3C,https://www.boliga.dk//bbrinfo/3359937e-9fa9-449e-a569-26e70b1f2c3c,"(55.62263721, 12.39898997)","Kollerupvej 2, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,135, 1,135,Vandskyllende toilet i enheden,6, 1,-
31, Kollerupvej 7 2665 Vallensbæk Strand ,2875000.0,2022-03-01,,https://www.boliga.dk//salg/info/187/12759/28CCC53F-E14B-48C9-ACDA-813F82AC40DA,https://www.boliga.dk//bbrinfo/28ccc53f-e14b-48c9-acda-813f82ac40da,"(55.62213927, 12.39849414)","Kollerupvej 7, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,178, 2,178,Vandskyllende toilet i enheden,5, 2,400 V el fra værk
34, Kollerupvej 85 2665 Vallensbæk Strand ,3500000.0,2022-03-10,frit,https://www.boliga.dk//salg/info/187/12481/C38AA53E-F972-4928-BA8E-FCC314292DB4,https://www.boliga.dk//bbrinfo/c38aa53e-f972-4928-ba8e-fcc314292db4,"(55.62054954, 12.3929522)","Kollerupvej 85, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,113, 2,113,Vandskyllende toilet i enheden,4, 2,-
36, Bækkelunden 29 2660 Brøndby Strand ,5750000.0,2022-03-09,frit,https://www.boliga.dk//salg/info/153/68046/E0642D84-8749-4FE0-A30B-4451D56C5248,https://www.boliga.dk//bbrinfo/e0642d84-8749-4fe0-a30b-4451d56c5248,"(55.62780767, 12.42188486)","Bækkelunden 29, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,148, 2,148,Vandskyllende toilet i enheden,6, 2,400 V el fra værk
37, Bækkelunden 29 2660 Brøndby Strand ,3560000.0,2015-11-03,frit,https://www.boliga.dk//salg/info/153/68046/E0642D84-8749-4FE0-A30B-4451D56C5248,https://www.boliga.dk//bbrinfo/e0642d84-8749-4fe0-a30b-4451d56c5248,"(55.62780767, 12.42188486)","Bækkelunden 29, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,148, 2,148,Vandskyllende toilet i enheden,6, 2,400 V el fra værk
38, Bækkelunden 29 2660 Brøndby Strand ,4050000.0,2007-11-06,frit,https://www.boliga.dk//salg/info/153/68046/E0642D84-8749-4FE0-A30B-4451D56C5248,https://www.boliga.dk//bbrinfo/e0642d84-8749-4fe0-a30b-4451d56c5248,"(55.62780767, 12.42188486)","Bækkelunden 29, 2660 Brøndby Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,148, 2,148,Vandskyllende toilet i enheden,6, 2,400 V el fra værk
41, Hyttevænget 15 2665 Vallensbæk Strand ,5795000.0,2022-03-07,frit,https://www.boliga.dk//salg/info/187/9650/9A43959D-2C85-4843-8DFE-0DFE4D94EA25,https://www.boliga.dk//bbrinfo/9a43959d-2c85-4843-8dfe-0dfe4d94ea25,"(55.62063848, 12.39566194)","Hyttevænget 15, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,161, 2,161,Vandskyllende toilet i enheden,4, 2,-
42, Hyttevænget 15 2665 Vallensbæk Strand ,3755000.0,2015-07-01,frit,https://www.boliga.dk//salg/info/187/9650/9A43959D-2C85-4843-8DFE-0DFE4D94EA25,https://www.boliga.dk//bbrinfo/9a43959d-2c85-4843-8dfe-0dfe4d94ea25,"(55.62063848, 12.39566194)","Hyttevænget 15, 2665 Vallensbæk Strand",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,161, 2,161,Vandskyllende toilet i enheden,4, 2,-
