,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Tværbommen 43, 1. tv 2820 Gentofte ",2330000.0,2022-04-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/214128/8EF80033-46E1-4EF7-8573-15C8985220B2,https://www.boliga.dk//bbrinfo/8ef80033-46e1-4ef7-8573-15c8985220b2,"(55.7516381, 12.52055432)","Tværbommen 43, 3., 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,68, 1,68,Vandskyllende toilet i enheden,3, 1,-
1," Tværbommen 43, 1. tv 2820 Gentofte ",2200000.0,2019-03-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/214128/8EF80033-46E1-4EF7-8573-15C8985220B2,https://www.boliga.dk//bbrinfo/8ef80033-46e1-4ef7-8573-15c8985220b2,"(55.7516381, 12.52055432)","Tværbommen 43, 3., 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,68, 1,68,Vandskyllende toilet i enheden,3, 1,-
2," Tværbommen 43, 1. tv 2820 Gentofte ",2035000.0,2017-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/214128/8EF80033-46E1-4EF7-8573-15C8985220B2,https://www.boliga.dk//bbrinfo/8ef80033-46e1-4ef7-8573-15c8985220b2,"(55.7516381, 12.52055432)","Tværbommen 43, 3., 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,68, 1,68,Vandskyllende toilet i enheden,3, 1,-
3," Tværbommen 43, 1. tv 2820 Gentofte ",1800000.0,2015-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/214128/8EF80033-46E1-4EF7-8573-15C8985220B2,https://www.boliga.dk//bbrinfo/8ef80033-46e1-4ef7-8573-15c8985220b2,"(55.7516381, 12.52055432)","Tværbommen 43, 3., 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,68, 1,68,Vandskyllende toilet i enheden,3, 1,-
6," Gentoftegade 27F, 1 2820 Gentofte ",4500000.0,2022-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/278584/D941CE84-9C03-496C-A941-D1C742F76FDE,https://www.boliga.dk//bbrinfo/d941ce84-9c03-496c-a941-d1c742f76fde,"(55.74849875, 12.54117292)","Gentoftegade 27F, 1., 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,115, 1,115,Vandskyllende toilet i enheden,4, 1,-
7," Skjoldagervej 80, st. mf 2820 Gentofte ",1495000.0,2022-07-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/164929/75A42397-019A-4CE1-951A-8B3AD548BC93,https://www.boliga.dk//bbrinfo/75a42397-019a-4ce1-951a-8b3ad548bc93,"(55.76137831, 12.52835768)","Skjoldagervej 80, 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,33, 1,33,Vandskyllende toilet i enheden,1, 1,-
8," Skjoldagervej 80, st. mf 2820 Gentofte ",1025000.0,2019-05-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/164929/75A42397-019A-4CE1-951A-8B3AD548BC93,https://www.boliga.dk//bbrinfo/75a42397-019a-4ce1-951a-8b3ad548bc93,"(55.76137831, 12.52835768)","Skjoldagervej 80, 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,33, 1,33,Vandskyllende toilet i enheden,1, 1,-
9," Skjoldagervej 80, st. mf 2820 Gentofte ",710000.0,2015-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/164929/75A42397-019A-4CE1-951A-8B3AD548BC93,https://www.boliga.dk//bbrinfo/75a42397-019a-4ce1-951a-8b3ad548bc93,"(55.76137831, 12.52835768)","Skjoldagervej 80, 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,33, 1,33,Vandskyllende toilet i enheden,1, 1,-
10," Skjoldagervej 80, st. mf 2820 Gentofte ",563000.0,2010-06-02, Handelstype Auktion,https://www.boliga.dk//salg/info/157/164929/75A42397-019A-4CE1-951A-8B3AD548BC93,https://www.boliga.dk//bbrinfo/75a42397-019a-4ce1-951a-8b3ad548bc93,"(55.76137831, 12.52835768)","Skjoldagervej 80, 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,33, 1,33,Vandskyllende toilet i enheden,1, 1,-
11, Prins Valdemars Vej 56 2820 Gentofte ,13500000.0,2022-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/153161/50F8C78B-C344-4DA1-A617-9EFB329E4F28,https://www.boliga.dk//bbrinfo/50f8c78b-c344-4da1-a617-9efb329e4f28,"(55.75920892, 12.54337274)","Prins Valdemars Vej 56, 2820 Gentofte",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,141, 2,141,Vandskyllende toilet i enheden,5, 3,-
