,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Vendersgade 31, 2. tv 1363 København K ",6595000.0,2022-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/924190/EABDBA47-91CD-4D8B-BD5B-1833ACDB86F0,https://www.boliga.dk//bbrinfo/eabdba47-91cd-4d8b-bd5b-1833acdb86f0,"(55.68518806, 12.56526075)","Vendersgade 31, 1363 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
1," Vendersgade 31, 2. tv 1363 København K ",0.0,2007-02-01, Handelstype Ukendt,https://www.boliga.dk//salg/info/101/924190/EABDBA47-91CD-4D8B-BD5B-1833ACDB86F0,https://www.boliga.dk//bbrinfo/eabdba47-91cd-4d8b-bd5b-1833acdb86f0,"(55.68518806, 12.56526075)","Vendersgade 31, 1363 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
2," Nansensgade 64, 1. tv 1366 København K ",5450000.0,2022-03-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/831442/4B25FD72-3DBF-4AFE-B526-A705899D7067,https://www.boliga.dk//bbrinfo/4b25fd72-3dbf-4afe-b526-a705899d7067,"(55.68361353, 12.56546127)","Nansensgade 64, 1366 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
3," Nansensgade 64, 1. tv 1366 København K ",2242500.0,2019-04-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/831442/4B25FD72-3DBF-4AFE-B526-A705899D7067,https://www.boliga.dk//bbrinfo/4b25fd72-3dbf-4afe-b526-a705899d7067,"(55.68361353, 12.56546127)","Nansensgade 64, 1366 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
4," Nansensgade 64, 1. tv 1366 København K ",2950000.0,2007-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/831442/4B25FD72-3DBF-4AFE-B526-A705899D7067,https://www.boliga.dk//bbrinfo/4b25fd72-3dbf-4afe-b526-a705899d7067,"(55.68361353, 12.56546127)","Nansensgade 64, 1366 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
7," Nørre Farimagsgade 49, 1. mf 1364 København K ",7500000.0,2022-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/39705/10D471BE-453C-4DDB-B34A-17B554D8C04B,https://www.boliga.dk//bbrinfo/10d471be-453c-4ddb-b34a-17b554d8c04b,"(55.68379222, 12.56661057)","Nørre Farimagsgade 49, 1364 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,104, 1,104,Vandskyllende toilet i enheden,3, 1,-
8," Nørre Farimagsgade 49, 1. mf 1364 København K ",5985000.0,2020-06-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/39705/10D471BE-453C-4DDB-B34A-17B554D8C04B,https://www.boliga.dk//bbrinfo/10d471be-453c-4ddb-b34a-17b554d8c04b,"(55.68379222, 12.56661057)","Nørre Farimagsgade 49, 1364 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,104, 1,104,Vandskyllende toilet i enheden,3, 1,-
9," Rømersgade 5, 4 1362 København K ",23000000.0,2022-02-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/850285/4EA17811-DBD4-44E1-811F-C435B285112A,https://www.boliga.dk//bbrinfo/4ea17811-dbd4-44e1-811f-c435b285112a,"(55.6831449, 12.56753834)","Rømersgade 5, 1362 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,325, 1,325,Vandskyllende toilet i enheden,9, 2,-
10," Rømersgade 5, 4 1362 København K ",1703750.0,2013-04-30, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/850285/4EA17811-DBD4-44E1-811F-C435B285112A,https://www.boliga.dk//bbrinfo/4ea17811-dbd4-44e1-811f-c435b285112a,"(55.6831449, 12.56753834)","Rømersgade 5, 1362 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,325, 1,325,Vandskyllende toilet i enheden,9, 2,-
14," Nørre Farimagsgade 47, 3. tv 1364 København K ",6950000.0,2022-02-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/40076/CFFB2AC0-6A11-4764-841C-D54266766425,https://www.boliga.dk//bbrinfo/cffb2ac0-6a11-4764-841c-d54266766425,"(55.6836842, 12.56644045)","Nørre Farimagsgade 47, 1. th, 1364 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,100, 1,100,Vandskyllende toilet i enheden,4, 1,-
15," Nørre Farimagsgade 47, 3. tv 1364 København K ",5850000.0,2019-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/40076/CFFB2AC0-6A11-4764-841C-D54266766425,https://www.boliga.dk//bbrinfo/cffb2ac0-6a11-4764-841c-d54266766425,"(55.6836842, 12.56644045)","Nørre Farimagsgade 47, 1. th, 1364 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,100, 1,100,Vandskyllende toilet i enheden,4, 1,-
16," Nørre Farimagsgade 45, st 1364 København K ",6750000.0,2022-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/752194/3AA884B5-BC56-465A-976C-404C9ED72D09,https://www.boliga.dk//bbrinfo/3aa884b5-bc56-465a-976c-404c9ed72d09,"(55.68363711, 12.56639147)","Nørre Farimagsgade 45, 1., 1364 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,122, 1,122,Vandskyllende toilet i enheden,3, 1,-
17," Nørre Farimagsgade 45, st 1364 København K ",90000000.0,2015-08-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/752194/3AA884B5-BC56-465A-976C-404C9ED72D09,https://www.boliga.dk//bbrinfo/3aa884b5-bc56-465a-976c-404c9ed72d09,"(55.68363711, 12.56639147)","Nørre Farimagsgade 45, 1., 1364 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,122, 1,122,Vandskyllende toilet i enheden,3, 1,-
19," Rømersgade 20B, 5. tv 1362 København K ",5895000.0,2022-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10672/47C74AF1-BC1E-4C3D-9A06-E9E818B28D01,https://www.boliga.dk//bbrinfo/47c74af1-bc1e-4c3d-9a06-e9e818b28d01,"(55.68470766, 12.57014934)","Rømersgade 20B, 1., 1362 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,86, 1,86,Vandskyllende toilet i enheden,4, 1,-
20," Rømersgade 20B, 5. tv 1362 København K ",2100000.0,2021-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10672/47C74AF1-BC1E-4C3D-9A06-E9E818B28D01,https://www.boliga.dk//bbrinfo/47c74af1-bc1e-4c3d-9a06-e9e818b28d01,"(55.68470766, 12.57014934)","Rømersgade 20B, 1., 1362 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,86, 1,86,Vandskyllende toilet i enheden,4, 1,-
21," Rømersgade 20B, 5. tv 1362 København K ",3900000.0,2016-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10672/47C74AF1-BC1E-4C3D-9A06-E9E818B28D01,https://www.boliga.dk//bbrinfo/47c74af1-bc1e-4c3d-9a06-e9e818b28d01,"(55.68470766, 12.57014934)","Rømersgade 20B, 1., 1362 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,86, 1,86,Vandskyllende toilet i enheden,4, 1,-
22," Rømersgade 20B, 5. tv 1362 København K ",3153000.0,2013-03-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10672/47C74AF1-BC1E-4C3D-9A06-E9E818B28D01,https://www.boliga.dk//bbrinfo/47c74af1-bc1e-4c3d-9a06-e9e818b28d01,"(55.68470766, 12.57014934)","Rømersgade 20B, 1., 1362 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,86, 1,86,Vandskyllende toilet i enheden,4, 1,-
23," Turesensgade 11, 3. th 1368 København K ",3565000.0,2022-01-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/798070/213D8B56-0107-4671-B112-B3E54AE6B808,https://www.boliga.dk//bbrinfo/213d8b56-0107-4671-b112-b3e54ae6b808,"(55.6813735, 12.56348181)","Turesensgade 11, kl., 1368 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,48, 1,48,Vandskyllende toilet i enheden,2, 1,-
24," Turesensgade 11, 3. th 1368 København K ",1700000.0,2007-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/798070/213D8B56-0107-4671-B112-B3E54AE6B808,https://www.boliga.dk//bbrinfo/213d8b56-0107-4671-b112-b3e54ae6b808,"(55.6813735, 12.56348181)","Turesensgade 11, kl., 1368 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,48, 1,48,Vandskyllende toilet i enheden,2, 1,-
26," Nansensgade 39, 5 1366 København K ",11335000.0,2022-01-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/508820/7DD542C3-9553-45BF-BFC9-8944F27EC4B1,https://www.boliga.dk//bbrinfo/7dd542c3-9553-45bf-bfc9-8944f27ec4b1,"(55.68309021, 12.56441269)","Nansensgade 39, 1366 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,150, 1,150,Vandskyllende toilet i enheden,4, 1,230 V el fra værk
27," Nansensgade 39, 5 1366 København K ",7500000.0,2019-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/508820/7DD542C3-9553-45BF-BFC9-8944F27EC4B1,https://www.boliga.dk//bbrinfo/7dd542c3-9553-45bf-bfc9-8944f27ec4b1,"(55.68309021, 12.56441269)","Nansensgade 39, 1366 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,150, 1,150,Vandskyllende toilet i enheden,4, 1,230 V el fra værk
28," Nansensgade 39, 5 1366 København K ",5895000.0,2007-10-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/508820/7DD542C3-9553-45BF-BFC9-8944F27EC4B1,https://www.boliga.dk//bbrinfo/7dd542c3-9553-45bf-bfc9-8944f27ec4b1,"(55.68309021, 12.56441269)","Nansensgade 39, 1366 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,150, 1,150,Vandskyllende toilet i enheden,4, 1,230 V el fra værk
30," Nørre Farimagsgade 64B, 3. th 1364 København K ",5400000.0,2021-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/503950/FF24F3D1-D048-4712-B11F-173376591CD9,https://www.boliga.dk//bbrinfo/ff24f3d1-d048-4712-b11f-173376591cd9,"(55.68435147, 12.56782991)","Nørre Farimagsgade 64B, 1364 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
31," Nørre Farimagsgade 64B, 3. th 1364 København K ",2950000.0,2008-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/503950/FF24F3D1-D048-4712-B11F-173376591CD9,https://www.boliga.dk//bbrinfo/ff24f3d1-d048-4712-b11f-173376591cd9,"(55.68435147, 12.56782991)","Nørre Farimagsgade 64B, 1364 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
