,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Dyrehaven 7, 1 2930 Klampenborg ",4500000.0,2022-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/152116/AF51FCC4-05F3-4D64-8195-68AE75F6069D,https://www.boliga.dk//bbrinfo/af51fcc4-05f3-4d64-8195-68ae75f6069d,"(55.77707471, 12.57079457)","Dyrehaven 7, 2930 Klampenborg",0173,Sommer-/fritidsbolig,Fast kogeinstallation i værelse eller på gang,Sommerhus.,Badeværelse i enheden,127, 1,127,Vandskyllende toilet i enheden,4, 1,-
1," Dyrehaven 7, 1 2930 Klampenborg ",625000.0,2015-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/152116/AF51FCC4-05F3-4D64-8195-68AE75F6069D,https://www.boliga.dk//bbrinfo/af51fcc4-05f3-4d64-8195-68ae75f6069d,"(55.77707471, 12.57079457)","Dyrehaven 7, 2930 Klampenborg",0173,Sommer-/fritidsbolig,Fast kogeinstallation i værelse eller på gang,Sommerhus.,Badeværelse i enheden,127, 1,127,Vandskyllende toilet i enheden,4, 1,-
2," Rosavej 3, 1 2930 Klampenborg ",3400000.0,2022-01-03, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/157/155814/FB24533E-634C-444A-91AF-6974634B87A4,https://www.boliga.dk//bbrinfo/fb24533e-634c-444a-91af-6974634b87a4,"(55.76659048, 12.59378889)","Rosavej 3, 1., 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,132, 1,132,Vandskyllende toilet i enheden,4, 1,-
3," Rosavej 3, 1 2930 Klampenborg ",6400000.0,2010-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/155814/FB24533E-634C-444A-91AF-6974634B87A4,https://www.boliga.dk//bbrinfo/fb24533e-634c-444a-91af-6974634b87a4,"(55.76659048, 12.59378889)","Rosavej 3, 1., 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,132, 1,132,Vandskyllende toilet i enheden,4, 1,-
6," Rosavej 3, 2 2930 Klampenborg ",3400000.0,2022-01-03, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/157/155814/D690A8C0-582C-4C5C-A6BB-26D61193F0FB,https://www.boliga.dk//bbrinfo/d690a8c0-582c-4c5c-a6bb-26d61193f0fb,"(55.76659048, 12.59378889)","Rosavej 3, 1., 2930 Klampenborg",0157,"Enkeltværelse (boligenhed med fast kogeinstallation, fælles køkken eller intet køkken).",Fast kogeinstallation i værelse eller på gang,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,72, 1,72,Vandskyllende toilet i enheden,4, 1,-
7," Rosavej 3, 2 2930 Klampenborg ",6400000.0,2010-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/155814/D690A8C0-582C-4C5C-A6BB-26D61193F0FB,https://www.boliga.dk//bbrinfo/d690a8c0-582c-4c5c-a6bb-26d61193f0fb,"(55.76659048, 12.59378889)","Rosavej 3, 1., 2930 Klampenborg",0157,"Enkeltværelse (boligenhed med fast kogeinstallation, fælles køkken eller intet køkken).",Fast kogeinstallation i værelse eller på gang,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,72, 1,72,Vandskyllende toilet i enheden,4, 1,-
10," Rosavej 3, st 2930 Klampenborg ",3400000.0,2022-01-03, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/157/155814/C893E8CF-4E3B-4FB6-A1BA-6FEC9182C0CE,https://www.boliga.dk//bbrinfo/c893e8cf-4e3b-4fb6-a1ba-6fec9182c0ce,"(55.76659048, 12.59378889)","Rosavej 3, 1., 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,136, 1,136,Vandskyllende toilet i enheden,4, 1,-
11," Rosavej 3, st 2930 Klampenborg ",6400000.0,2010-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/155814/C893E8CF-4E3B-4FB6-A1BA-6FEC9182C0CE,https://www.boliga.dk//bbrinfo/c893e8cf-4e3b-4fb6-a1ba-6fec9182c0ce,"(55.76659048, 12.59378889)","Rosavej 3, 1., 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,136, 1,136,Vandskyllende toilet i enheden,4, 1,-
14, Hvidørevej 30 2930 Klampenborg ,15000000.0,2022-03-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/88769/75C1E19F-68D2-44BF-AB00-51B581FC9205,https://www.boliga.dk//bbrinfo/75c1e19f-68d2-44bf-ab00-51b581fc9205,"(55.76853822, 12.58738067)","Hvidørevej 30, 2930 Klampenborg",0157,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,204, 2,194,Vandskyllende toilet i enheden,7, 2,-
16," Lorentzensvej 5, st 2930 Klampenborg ",4180000.0,2022-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/171994/590243FE-11DC-4FE0-8A7A-C778CE8C432D,https://www.boliga.dk//bbrinfo/590243fe-11dc-4fe0-8a7a-c778ce8c432d,"(55.78866237, 12.59240729)","Lorentzensvej 5, st., 2930 Klampenborg",0173,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,61, 1,61,Vandskyllende toilet i enheden,2, 1,-
17," Lorentzensvej 5, st 2930 Klampenborg ",2950000.0,2020-10-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/171994/590243FE-11DC-4FE0-8A7A-C778CE8C432D,https://www.boliga.dk//bbrinfo/590243fe-11dc-4fe0-8a7a-c778ce8c432d,"(55.78866237, 12.59240729)","Lorentzensvej 5, st., 2930 Klampenborg",0173,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,61, 1,61,Vandskyllende toilet i enheden,2, 1,-
20," Strandvejen 419, 2. tv 2930 Klampenborg ",1075000.0,2022-02-09, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/157/277790/E55D843C-7FE7-427D-8AB1-3A01DD743EEB,https://www.boliga.dk//bbrinfo/e55d843c-7fe7-427d-8ab1-3a01dd743eeb,"(55.77596439, 12.58989539)","Strandvejen 419, 1. th, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,71, 1,71,Vandskyllende toilet i enheden,2, 1,-
21," Strandvejen 419, 2. tv 2930 Klampenborg ",2556000.0,2014-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/277790/E55D843C-7FE7-427D-8AB1-3A01DD743EEB,https://www.boliga.dk//bbrinfo/e55d843c-7fe7-427d-8ab1-3a01dd743eeb,"(55.77596439, 12.58989539)","Strandvejen 419, 1. th, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,71, 1,71,Vandskyllende toilet i enheden,2, 1,-
22," Strandvejen 419, 2. tv 2930 Klampenborg ",630000.0,2011-12-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/277790/E55D843C-7FE7-427D-8AB1-3A01DD743EEB,https://www.boliga.dk//bbrinfo/e55d843c-7fe7-427d-8ab1-3a01dd743eeb,"(55.77596439, 12.58989539)","Strandvejen 419, 1. th, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,71, 1,71,Vandskyllende toilet i enheden,2, 1,-
23," Strandvejen 419, 2. tv 2930 Klampenborg ",2400000.0,2008-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/277790/E55D843C-7FE7-427D-8AB1-3A01DD743EEB,https://www.boliga.dk//bbrinfo/e55d843c-7fe7-427d-8ab1-3a01dd743eeb,"(55.77596439, 12.58989539)","Strandvejen 419, 1. th, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,71, 1,71,Vandskyllende toilet i enheden,2, 1,-
25, Christiansholmsvej 36 2930 Klampenborg ,15065000.0,2022-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/27514/A976187B-ADE8-4CD3-AD38-E96D6AAAE79E,https://www.boliga.dk//bbrinfo/a976187b-ade8-4cd3-ad38-e96d6aaae79e,"(55.77079858, 12.58416619)","Christiansholmsvej 36, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,250, 3,250,Vandskyllende toilet i enheden,7, 3,-
27, Klampenborgvej 11 2930 Klampenborg ,13450000.0,2022-01-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/108905/13DF8D23-5386-4F74-A15F-7B97B424D7F1,https://www.boliga.dk//bbrinfo/13df8d23-5386-4f74-a15f-7b97b424d7f1,"(55.77261083, 12.58146182)","Klampenborgvej 11, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,189, 1,189,Vandskyllende toilet i enheden,6, 2,-
29, Strandvejen 365 2930 Klampenborg ,8900000.0,2022-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/192450/C16EB117-170D-455B-A22F-EB19FA477CF3,https://www.boliga.dk//bbrinfo/c16eb117-170d-455b-a22f-eb19fa477cf3,"(55.76639165, 12.59560157)","Strandvejen 365, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,104, 1,104,Vandskyllende toilet i enheden,4, 1,-
30, Strandvejen 365 2930 Klampenborg ,8900000.0,2022-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/192450/C16EB117-170D-455B-A22F-EB19FA477CF3,https://www.boliga.dk//bbrinfo/c16eb117-170d-455b-a22f-eb19fa477cf3,"(55.76639165, 12.59560157)","Strandvejen 365, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,104, 1,104,Vandskyllende toilet i enheden,4, 1,-
31, Strandvejen 365 2930 Klampenborg ,8900000.0,2022-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/192450/C16EB117-170D-455B-A22F-EB19FA477CF3,https://www.boliga.dk//bbrinfo/c16eb117-170d-455b-a22f-eb19fa477cf3,"(55.76639165, 12.59560157)","Strandvejen 365, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,104, 1,104,Vandskyllende toilet i enheden,4, 1,-
32, Strandvejen 365 2930 Klampenborg ,1900000.0,2020-03-01, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/157/192450/C16EB117-170D-455B-A22F-EB19FA477CF3,https://www.boliga.dk//bbrinfo/c16eb117-170d-455b-a22f-eb19fa477cf3,"(55.76639165, 12.59560157)","Strandvejen 365, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,104, 1,104,Vandskyllende toilet i enheden,4, 1,-
34, Drachmannsvej 2A 2930 Klampenborg ,16750000.0,2022-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/39075/4EA16B82-A09C-4761-8206-B5492AB00A4C,https://www.boliga.dk//bbrinfo/4ea16b82-a09c-4761-8206-b5492ab00a4c,"(55.76307672, 12.59460096)","Drachmannsvej 2A, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,167, 2,167,Vandskyllende toilet i enheden,6, 2,-
35, Drachmannsvej 2A 2930 Klampenborg ,9550000.0,2019-04-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/39075/4EA16B82-A09C-4761-8206-B5492AB00A4C,https://www.boliga.dk//bbrinfo/4ea16b82-a09c-4761-8206-b5492ab00a4c,"(55.76307672, 12.59460096)","Drachmannsvej 2A, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,167, 2,167,Vandskyllende toilet i enheden,6, 2,-
37," Edelslundsvej 1A, 2. th 2930 Klampenborg ",5800000.0,2022-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/153775/3E7B8E45-E74B-4E59-873A-D45AD2BCB225,https://www.boliga.dk//bbrinfo/3e7b8e45-e74b-4e59-873a-d45ad2bcb225,"(55.78800794, 12.59397809)","Edelslundsvej 1A, 1. th, 2930 Klampenborg",0173,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,84, 1,84,Vandskyllende toilet i enheden,3, 1,-
38, Vermehrensvej 7 2930 Klampenborg ,23000000.0,2022-01-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/157/224387/EDF2EA85-AD60-4209-9607-EC62490680F4,https://www.boliga.dk//bbrinfo/edf2ea85-ad60-4209-9607-ec62490680f4,"(55.76678952, 12.59257352)","Vermehrensvej 7, 2930 Klampenborg",0157,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,240, 2,240,Vandskyllende toilet i enheden,6, 2,-
40," Taarbæk Strandvej 76, st. th 2930 Klampenborg ",6750000.0,2022-01-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/177003/43FE76F9-8389-4086-BB1E-77AE6BEDCAF3,https://www.boliga.dk//bbrinfo/43fe76f9-8389-4086-bb1e-77ae6bedcaf3,"(55.78536573, 12.59346407)","Taarbæk Strandvej 76, 1., 2930 Klampenborg",0173,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,62, 1,62,Vandskyllende toilet i enheden,2, 1,-
