,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Wildersgade 61, 1. th 1408 København K ",5725000.0,2022-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/111130/069B307E-F4B5-431A-A4C0-89BFA8E1FBAA,https://www.boliga.dk//bbrinfo/069b307e-f4b5-431a-a4c0-89bfa8e1fbaa,"(55.67497468, 12.59276312)","Wildersgade 61, 1. th, 1408 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,96, 1,96,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
1," Wildersgade 61, 1. th 1408 København K ",4150000.0,2015-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/111130/069B307E-F4B5-431A-A4C0-89BFA8E1FBAA,https://www.boliga.dk//bbrinfo/069b307e-f4b5-431a-a4c0-89bfa8e1fbaa,"(55.67497468, 12.59276312)","Wildersgade 61, 1. th, 1408 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,96, 1,96,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
2," Strandgade 48, st 1401 København K ",11995000.0,2022-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/536653/ABD17C9F-6490-409F-A2DF-9BBD3A76E199,https://www.boliga.dk//bbrinfo/abd17c9f-6490-409f-a2df-9bbd3a76e199,"(55.67539701, 12.59232195)","Strandgade 48, 1., 1401 København K",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 1,141,Vandskyllende toilet i enheden,6, 1,-
3," Strandgade 48, st 1401 København K ",3500000.0,2021-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/536653/ABD17C9F-6490-409F-A2DF-9BBD3A76E199,https://www.boliga.dk//bbrinfo/abd17c9f-6490-409f-a2df-9bbd3a76e199,"(55.67539701, 12.59232195)","Strandgade 48, 1., 1401 København K",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 1,141,Vandskyllende toilet i enheden,6, 1,-
4," Strandgade 48, st 1401 København K ",7250000.0,2018-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/536653/ABD17C9F-6490-409F-A2DF-9BBD3A76E199,https://www.boliga.dk//bbrinfo/abd17c9f-6490-409f-a2df-9bbd3a76e199,"(55.67539701, 12.59232195)","Strandgade 48, 1., 1401 København K",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 1,141,Vandskyllende toilet i enheden,6, 1,-
5," Strandgade 48, st 1401 København K ",5925000.0,2017-04-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/536653/ABD17C9F-6490-409F-A2DF-9BBD3A76E199,https://www.boliga.dk//bbrinfo/abd17c9f-6490-409f-a2df-9bbd3a76e199,"(55.67539701, 12.59232195)","Strandgade 48, 1., 1401 København K",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 1,141,Vandskyllende toilet i enheden,6, 1,-
6," Strandgade 48, st 1401 København K ",6625000.0,2016-12-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/536653/ABD17C9F-6490-409F-A2DF-9BBD3A76E199,https://www.boliga.dk//bbrinfo/abd17c9f-6490-409f-a2df-9bbd3a76e199,"(55.67539701, 12.59232195)","Strandgade 48, 1., 1401 København K",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 1,141,Vandskyllende toilet i enheden,6, 1,-
7," Strandgade 48, st 1401 København K ",528667.0,2016-03-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/536653/ABD17C9F-6490-409F-A2DF-9BBD3A76E199,https://www.boliga.dk//bbrinfo/abd17c9f-6490-409f-a2df-9bbd3a76e199,"(55.67539701, 12.59232195)","Strandgade 48, 1., 1401 København K",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 1,141,Vandskyllende toilet i enheden,6, 1,-
8," Strandgade 48, st 1401 København K ",4200000.0,2015-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/536653/ABD17C9F-6490-409F-A2DF-9BBD3A76E199,https://www.boliga.dk//bbrinfo/abd17c9f-6490-409f-a2df-9bbd3a76e199,"(55.67539701, 12.59232195)","Strandgade 48, 1., 1401 København K",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 1,141,Vandskyllende toilet i enheden,6, 1,-
9," Strandgade 48, st 1401 København K ",4195000.0,2012-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/536653/ABD17C9F-6490-409F-A2DF-9BBD3A76E199,https://www.boliga.dk//bbrinfo/abd17c9f-6490-409f-a2df-9bbd3a76e199,"(55.67539701, 12.59232195)","Strandgade 48, 1., 1401 København K",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 1,141,Vandskyllende toilet i enheden,6, 1,-
