,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Knabrostræde 25, 3. th 1210 København K ",5480000.0,2021-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/960595/8C789FD6-F334-45D3-99BA-4E8687F3F806,https://www.boliga.dk//bbrinfo/8c789fd6-f334-45d3-99ba-4e8687f3f806,"(55.67685404, 12.57601276)","Knabrostræde 25, 1., 1210 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,81, 1,81,Vandskyllende toilet i enheden,3, 1,-
1," Knabrostræde 25, 3. th 1210 København K ",3675000.0,2015-11-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/960595/8C789FD6-F334-45D3-99BA-4E8687F3F806,https://www.boliga.dk//bbrinfo/8c789fd6-f334-45d3-99ba-4e8687f3f806,"(55.67685404, 12.57601276)","Knabrostræde 25, 1., 1210 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,81, 1,81,Vandskyllende toilet i enheden,3, 1,-
2," Knabrostræde 25, 3. th 1210 København K ",2525000.0,2010-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/960595/8C789FD6-F334-45D3-99BA-4E8687F3F806,https://www.boliga.dk//bbrinfo/8c789fd6-f334-45d3-99ba-4e8687f3f806,"(55.67685404, 12.57601276)","Knabrostræde 25, 1., 1210 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,81, 1,81,Vandskyllende toilet i enheden,3, 1,-
3," Knabrostræde 25, 3. th 1210 København K ",2850000.0,2009-03-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/960595/8C789FD6-F334-45D3-99BA-4E8687F3F806,https://www.boliga.dk//bbrinfo/8c789fd6-f334-45d3-99ba-4e8687f3f806,"(55.67685404, 12.57601276)","Knabrostræde 25, 1., 1210 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,81, 1,81,Vandskyllende toilet i enheden,3, 1,-
6," Brolæggerstræde 1, 1 1211 København K ",4750000.0,2021-12-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/716112/ED9697B7-C2E2-44A8-A6A2-C419B6F57AA4,https://www.boliga.dk//bbrinfo/ed9697b7-c2e2-44a8-a6a2-c419b6f57aa4,"(55.67784469, 12.57534896)","Brolæggerstræde 1, 1., 1211 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,75, 1,75,Vandskyllende toilet i enheden,3, 1,-
7," Brolæggerstræde 1, 1 1211 København K ",2350000.0,2019-04-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/716112/ED9697B7-C2E2-44A8-A6A2-C419B6F57AA4,https://www.boliga.dk//bbrinfo/ed9697b7-c2e2-44a8-a6a2-c419b6f57aa4,"(55.67784469, 12.57534896)","Brolæggerstræde 1, 1., 1211 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,75, 1,75,Vandskyllende toilet i enheden,3, 1,-
8," Brolæggerstræde 1, 1 1211 København K ",2350000.0,2018-08-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/716112/ED9697B7-C2E2-44A8-A6A2-C419B6F57AA4,https://www.boliga.dk//bbrinfo/ed9697b7-c2e2-44a8-a6a2-c419b6f57aa4,"(55.67784469, 12.57534896)","Brolæggerstræde 1, 1., 1211 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,75, 1,75,Vandskyllende toilet i enheden,3, 1,-
9," Brolæggerstræde 1, 1 1211 København K ",2350000.0,2013-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/716112/ED9697B7-C2E2-44A8-A6A2-C419B6F57AA4,https://www.boliga.dk//bbrinfo/ed9697b7-c2e2-44a8-a6a2-c419b6f57aa4,"(55.67784469, 12.57534896)","Brolæggerstræde 1, 1., 1211 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,75, 1,75,Vandskyllende toilet i enheden,3, 1,-
13," Knabrostræde 21, st. th 1210 København K ",3330000.0,2021-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/960447/7A173864-7E8F-46D7-8A24-7B5504CA78DF,https://www.boliga.dk//bbrinfo/7a173864-7e8f-46d7-8a24-7b5504ca78df,"(55.67695551, 12.57584173)","Knabrostræde 21, 3., 1210 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,49, 1,49,Vandskyllende toilet i enheden,2, 1,-
14," Knabrostræde 21, st. th 1210 København K ",2970000.0,2020-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/960447/7A173864-7E8F-46D7-8A24-7B5504CA78DF,https://www.boliga.dk//bbrinfo/7a173864-7e8f-46d7-8a24-7b5504ca78df,"(55.67695551, 12.57584173)","Knabrostræde 21, 3., 1210 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,49, 1,49,Vandskyllende toilet i enheden,2, 1,-
