,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Åboulevard 11, 1. tv 1635 København V ",6100000.0,2022-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/827097/8C3A95BF-0A10-4EBF-9921-189017D89B1A,https://www.boliga.dk//bbrinfo/8c3a95bf-0a10-4ebf-9921-189017d89b1a,"(55.68300929, 12.55591712)","Åboulevard 11, 1. th, 1635 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,132, 1,132,Vandskyllende toilet i enheden,4, 1,-
1," Åboulevard 11, 1. tv 1635 København V ",4600000.0,2019-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/827097/8C3A95BF-0A10-4EBF-9921-189017D89B1A,https://www.boliga.dk//bbrinfo/8c3a95bf-0a10-4ebf-9921-189017d89b1a,"(55.68300929, 12.55591712)","Åboulevard 11, 1. th, 1635 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,132, 1,132,Vandskyllende toilet i enheden,4, 1,-
2," Åboulevard 11, 1. tv 1635 København V ",4495000.0,2017-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/827097/8C3A95BF-0A10-4EBF-9921-189017D89B1A,https://www.boliga.dk//bbrinfo/8c3a95bf-0a10-4ebf-9921-189017d89b1a,"(55.68300929, 12.55591712)","Åboulevard 11, 1. th, 1635 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,132, 1,132,Vandskyllende toilet i enheden,4, 1,-
3," Åboulevard 11, 1. tv 1635 København V ",1006147.0,2015-02-20, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/827097/8C3A95BF-0A10-4EBF-9921-189017D89B1A,https://www.boliga.dk//bbrinfo/8c3a95bf-0a10-4ebf-9921-189017d89b1a,"(55.68300929, 12.55591712)","Åboulevard 11, 1. th, 1635 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,132, 1,132,Vandskyllende toilet i enheden,4, 1,-
4," Åboulevard 11, 1. tv 1635 København V ",2950000.0,2013-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/827097/8C3A95BF-0A10-4EBF-9921-189017D89B1A,https://www.boliga.dk//bbrinfo/8c3a95bf-0a10-4ebf-9921-189017d89b1a,"(55.68300929, 12.55591712)","Åboulevard 11, 1. th, 1635 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,132, 1,132,Vandskyllende toilet i enheden,4, 1,-
6," Herman Triers Plads 2, 4. th 1631 København V ",2609950.0,2021-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/816176/BA4F1191-FFAD-49C6-A3DF-23638BEAD30E,https://www.boliga.dk//bbrinfo/ba4f1191-ffad-49c6-a3df-23638bead30e,"(55.68256455, 12.55587719)","Herman Triers Plads 2, 2. th, 1631 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,136, 1,136,Vandskyllende toilet i enheden,5, 1,-
7," Herman Triers Plads 6, 1. tv 1631 København V ",2629508.0,2021-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/864421/922EC521-0E60-43E1-9B17-A35FEE9120B0,https://www.boliga.dk//bbrinfo/922ec521-0e60-43e1-9b17-a35fee9120b0,"(55.68271469, 12.55517099)","Herman Triers Plads 6, 1. th, 1631 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,137, 1,137,Vandskyllende toilet i enheden,5, 1,-
8," Herman Triers Plads 6, 1. tv 1631 København V ",6003000.0,2015-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/864421/922EC521-0E60-43E1-9B17-A35FEE9120B0,https://www.boliga.dk//bbrinfo/922ec521-0e60-43e1-9b17-a35fee9120b0,"(55.68271469, 12.55517099)","Herman Triers Plads 6, 1. th, 1631 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,137, 1,137,Vandskyllende toilet i enheden,5, 1,-
9," Herman Triers Plads 4, 4. tv 1631 København V ",2023196.0,2021-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/816036/23CF52DF-1F3F-4AF9-BB5A-393A9F9E9547,https://www.boliga.dk//bbrinfo/23cf52df-1f3f-4af9-bb5a-393a9f9e9547,"(55.68264509, 12.55554011)","Herman Triers Plads 4, 4. th, 1631 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,106, 1,106,Vandskyllende toilet i enheden,3, 1,-
10," Herman Triers Plads 4, 4. tv 1631 København V ",4002120.0,2018-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/816036/23CF52DF-1F3F-4AF9-BB5A-393A9F9E9547,https://www.boliga.dk//bbrinfo/23cf52df-1f3f-4af9-bb5a-393a9f9e9547,"(55.68264509, 12.55554011)","Herman Triers Plads 4, 4. th, 1631 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,106, 1,106,Vandskyllende toilet i enheden,3, 1,-
