,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Hedetoften 39, st. th 2640 Hedehusene ",2100000.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/169/25606/57B77990-9DA2-4E4A-B958-48EE385E8C85,https://www.boliga.dk//bbrinfo/57b77990-9da2-4e4a-b958-48ee385e8c85,"(55.6536781, 12.19752873)","Hedetoften 39, 1. th, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,-
1," Hedetoften 39, st. th 2640 Hedehusene ",2100000.0,2021-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/25606/57B77990-9DA2-4E4A-B958-48EE385E8C85,https://www.boliga.dk//bbrinfo/57b77990-9da2-4e4a-b958-48ee385e8c85,"(55.6536781, 12.19752873)","Hedetoften 39, 1. th, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,-
3," Hedekæret 5, 1. th 2640 Hedehusene ",1650000.0,2022-04-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/146497/1BA53E68-1D9C-49CF-90FA-A1C59842E244,https://www.boliga.dk//bbrinfo/1ba53e68-1d9c-49cf-90fa-a1c59842e244,"(55.65423564, 12.19836499)","Hedekæret 5, 1. th, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
4," Hedekæret 5, 1. th 2640 Hedehusene ",1045000.0,2016-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/146497/1BA53E68-1D9C-49CF-90FA-A1C59842E244,https://www.boliga.dk//bbrinfo/1ba53e68-1d9c-49cf-90fa-a1c59842e244,"(55.65423564, 12.19836499)","Hedekæret 5, 1. th, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
5," Hedekæret 5, 1. th 2640 Hedehusene ",1140000.0,2008-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/146497/1BA53E68-1D9C-49CF-90FA-A1C59842E244,https://www.boliga.dk//bbrinfo/1ba53e68-1d9c-49cf-90fa-a1c59842e244,"(55.65423564, 12.19836499)","Hedekæret 5, 1. th, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
7, Rundageren 21 2640 Hedehusene ,2125000.0,2022-04-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/169/66795/93D3761F-02FA-4751-9E7A-A21A6A97DD38,https://www.boliga.dk//bbrinfo/93d3761f-02fa-4751-9e7a-a21a6a97dd38,"(55.65225852, 12.21058367)","Rundageren 21, Baldersbrønde, 2640 Hedehusene",0169,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Enhed til lager,Badeværelse i enheden,345, 1,85,Vandskyllende toilet i enheden,12, 2,400 V el fra værk
9, Møllevej 6 2640 Hedehusene ,1550000.0,2022-02-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/169/57745/63784B9B-9D67-464C-9F06-EB4B50103B68,https://www.boliga.dk//bbrinfo/63784b9b-9d67-464c-9f06-eb4b50103b68,"(55.66110297, 12.18288242)","Møllevej 6, Fløng, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,170, 1,170,Vandskyllende toilet i enheden,4, 1,-
12, Kongelysvej 33 2640 Hedehusene ,3400000.0,2022-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/186261/79F3BCE2-D06D-4137-8E46-8C697A3E396A,https://www.boliga.dk//bbrinfo/79f3bce2-d06d-4137-8e46-8c697a3e396a,"(55.64376594, 12.20295338)","Kongelysvej 33, Nærheden, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,111, 1,111,Vandskyllende toilet i enheden,4, 2,-
13, Kongelysvej 33 2640 Hedehusene ,1700000.0,2021-04-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/169/186261/79F3BCE2-D06D-4137-8E46-8C697A3E396A,https://www.boliga.dk//bbrinfo/79f3bce2-d06d-4137-8e46-8c697a3e396a,"(55.64376594, 12.20295338)","Kongelysvej 33, Nærheden, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,111, 1,111,Vandskyllende toilet i enheden,4, 2,-
14, Kongelysvej 33 2640 Hedehusene ,2719200.0,2018-05-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/186261/79F3BCE2-D06D-4137-8E46-8C697A3E396A,https://www.boliga.dk//bbrinfo/79f3bce2-d06d-4137-8e46-8c697a3e396a,"(55.64376594, 12.20295338)","Kongelysvej 33, Nærheden, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,111, 1,111,Vandskyllende toilet i enheden,4, 2,-
15," Vesterkøb 47, st. 4 2640 Hedehusene ",1280000.0,2022-07-01, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/169/92052/CC635245-22C9-4F8C-9D3A-ED310FCEF073,https://www.boliga.dk//bbrinfo/cc635245-22c9-4f8c-9d3a-ed310fcef073,"(55.65429881, 12.19548373)","Vesterkøb 47, 1. 1, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
16," Vesterkøb 47, st. 4 2640 Hedehusene ",1280000.0,2018-07-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/92052/CC635245-22C9-4F8C-9D3A-ED310FCEF073,https://www.boliga.dk//bbrinfo/cc635245-22c9-4f8c-9d3a-ed310fcef073,"(55.65429881, 12.19548373)","Vesterkøb 47, 1. 1, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
22, Fagerbo 17 2640 Hedehusene ,2990000.0,2022-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/150737/FE267615-BF10-48C8-AF33-87953F3616D0,https://www.boliga.dk//bbrinfo/fe267615-bf10-48c8-af33-87953f3616d0,"(55.65884019, 12.19408274)","Fagerbo 17, Fløng, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,120, 1,120,Vandskyllende toilet i enheden,4, 1,400 V el fra værk
23, Fagerbo 17 2640 Hedehusene ,2295000.0,2017-12-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/169/150737/FE267615-BF10-48C8-AF33-87953F3616D0,https://www.boliga.dk//bbrinfo/fe267615-bf10-48c8-af33-87953f3616d0,"(55.65884019, 12.19408274)","Fagerbo 17, Fløng, 2640 Hedehusene",0169,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,120, 1,120,Vandskyllende toilet i enheden,4, 1,400 V el fra værk
