,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Sommerstedgade 23, 2. th 1718 København V ",2025000.0,2022-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/515745/7F288083-F8CA-451C-9953-594BD0991090,https://www.boliga.dk//bbrinfo/7f288083-f8ca-451c-9953-594bd0991090,"(55.66601646, 12.55684653)","Sommerstedgade 23, 5., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,60, 1,60,Vandskyllende toilet uden for enheden,2, 0,-
1," Sommerstedgade 23, 2. th 1718 København V ",2820000.0,2018-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/515745/7F288083-F8CA-451C-9953-594BD0991090,https://www.boliga.dk//bbrinfo/7f288083-f8ca-451c-9953-594bd0991090,"(55.66601646, 12.55684653)","Sommerstedgade 23, 5., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,60, 1,60,Vandskyllende toilet uden for enheden,2, 0,-
2," Sommerstedgade 23, 2. th 1718 København V ",1437500.0,2018-06-08, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/515745/7F288083-F8CA-451C-9953-594BD0991090,https://www.boliga.dk//bbrinfo/7f288083-f8ca-451c-9953-594bd0991090,"(55.66601646, 12.55684653)","Sommerstedgade 23, 5., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,60, 1,60,Vandskyllende toilet uden for enheden,2, 0,-
4," Sommerstedgade 23, 2. tv 1718 København V ",4950000.0,2022-01-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/515753/A64DEFF5-FA41-450E-AAD2-3E4A90DA8C84,https://www.boliga.dk//bbrinfo/a64deff5-fa41-450e-aad2-3e4a90da8c84,"(55.66601646, 12.55684653)","Sommerstedgade 23, 5., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
5," Sommerstedgade 23, 2. tv 1718 København V ",4050000.0,2020-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/515753/A64DEFF5-FA41-450E-AAD2-3E4A90DA8C84,https://www.boliga.dk//bbrinfo/a64deff5-fa41-450e-aad2-3e4a90da8c84,"(55.66601646, 12.55684653)","Sommerstedgade 23, 5., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
6," Sommerstedgade 23, 2. tv 1718 København V ",1800000.0,2015-09-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/515753/A64DEFF5-FA41-450E-AAD2-3E4A90DA8C84,https://www.boliga.dk//bbrinfo/a64deff5-fa41-450e-aad2-3e4a90da8c84,"(55.66601646, 12.55684653)","Sommerstedgade 23, 5., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
8," Sommerstedgade 17, 3. tv 1718 København V ",3850000.0,2022-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/515397/B5D7A91C-C64F-43BC-8FF0-B9238592D46C,https://www.boliga.dk//bbrinfo/b5d7a91c-c64f-43bc-8ff0-b9238592d46c,"(55.66630578, 12.55658423)","Sommerstedgade 17, 5., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,60, 1,60,Vandskyllende toilet i enheden,2, 1,-
9," Sommerstedgade 17, 3. tv 1718 København V ",3350000.0,2021-06-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/515397/B5D7A91C-C64F-43BC-8FF0-B9238592D46C,https://www.boliga.dk//bbrinfo/b5d7a91c-c64f-43bc-8ff0-b9238592d46c,"(55.66630578, 12.55658423)","Sommerstedgade 17, 5., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,60, 1,60,Vandskyllende toilet i enheden,2, 1,-
13," Sommerstedgade 13, 4. tv 1718 København V ",1350000.0,2022-01-03, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/515141/90F3D539-7AA4-4B48-AD5C-1356AEB5605F,https://www.boliga.dk//bbrinfo/90f3d539-7aa4-4b48-ad5c-1356aeb5605f,"(55.66648373, 12.55641044)","Sommerstedgade 13, kl., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,2, 1,-
14," Sommerstedgade 13, 4. tv 1718 København V ",1650000.0,2010-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/515141/90F3D539-7AA4-4B48-AD5C-1356AEB5605F,https://www.boliga.dk//bbrinfo/90f3d539-7aa4-4b48-ad5c-1356aeb5605f,"(55.66648373, 12.55641044)","Sommerstedgade 13, kl., 1718 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,2, 1,-
