,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Klerkegade 2B, st. th 1308 København K ",3448500.0,2022-04-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/24564/35687612-BC6A-4CD3-AC57-AEDD5EB80ED6,https://www.boliga.dk//bbrinfo/35687612-bc6a-4cd3-ac57-aedd5eb80ed6,"(55.68620245, 12.58684119)","Klerkegade 2B, 3., 1308 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,131, 2,131,Vandskyllende toilet i enheden,4, 3,-
1," Klerkegade 2B, st. th 1308 København K ",11495000.0,2021-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/24564/35687612-BC6A-4CD3-AC57-AEDD5EB80ED6,https://www.boliga.dk//bbrinfo/35687612-bc6a-4cd3-ac57-aedd5eb80ed6,"(55.68620245, 12.58684119)","Klerkegade 2B, 3., 1308 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,131, 2,131,Vandskyllende toilet i enheden,4, 3,-
2," Klerkegade 2B, st. th 1308 København K ",7000000.0,2017-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/24564/35687612-BC6A-4CD3-AC57-AEDD5EB80ED6,https://www.boliga.dk//bbrinfo/35687612-bc6a-4cd3-ac57-aedd5eb80ed6,"(55.68620245, 12.58684119)","Klerkegade 2B, 3., 1308 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,131, 2,131,Vandskyllende toilet i enheden,4, 3,-
3," Klerkegade 2B, st. th 1308 København K ",6495000.0,2017-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/24564/35687612-BC6A-4CD3-AC57-AEDD5EB80ED6,https://www.boliga.dk//bbrinfo/35687612-bc6a-4cd3-ac57-aedd5eb80ed6,"(55.68620245, 12.58684119)","Klerkegade 2B, 3., 1308 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,131, 2,131,Vandskyllende toilet i enheden,4, 3,-
4," Sølvgade 92, 4. tv 1307 København K ",5300000.0,2022-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/824535/DD5C1D53-240E-4265-B666-7919384542B9,https://www.boliga.dk//bbrinfo/dd5c1d53-240e-4265-b666-7919384542b9,"(55.69009742, 12.57321486)","Sølvgade 92, 1307 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,89, 1,89,Vandskyllende toilet i enheden,3, 1,-
5," Sølvgade 92, 4. tv 1307 København K ",4252000.0,2018-05-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/824535/DD5C1D53-240E-4265-B666-7919384542B9,https://www.boliga.dk//bbrinfo/dd5c1d53-240e-4265-b666-7919384542b9,"(55.69009742, 12.57321486)","Sølvgade 92, 1307 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,89, 1,89,Vandskyllende toilet i enheden,3, 1,-
6," Sølvgade 92, 4. tv 1307 København K ",2495000.0,2008-10-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/824535/DD5C1D53-240E-4265-B666-7919384542B9,https://www.boliga.dk//bbrinfo/dd5c1d53-240e-4265-b666-7919384542b9,"(55.69009742, 12.57321486)","Sølvgade 92, 1307 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,89, 1,89,Vandskyllende toilet i enheden,3, 1,-
11," Borgergade 26, 4. 3 1300 København K ",4000000.0,2022-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/757560/416D07AC-AC4F-4EED-9009-49D02FEF02E2,https://www.boliga.dk//bbrinfo/416d07ac-ac4f-4eed-9009-49d02fef02e2,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,72, 1,72,Vandskyllende toilet i enheden,2, 1,-
12," Borgergade 26, 4. 3 1300 København K ",3951000.0,2021-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/757560/416D07AC-AC4F-4EED-9009-49D02FEF02E2,https://www.boliga.dk//bbrinfo/416d07ac-ac4f-4eed-9009-49d02fef02e2,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,72, 1,72,Vandskyllende toilet i enheden,2, 1,-
16," Sølvgade 15, 3. mf 1307 København K ",2299000.0,2022-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/856313/6CD5CDE0-15D6-4FFD-95E8-A18BE4CB9BB8,https://www.boliga.dk//bbrinfo/6cd5cde0-15d6-4ffd-95e8-a18be4cb9bb8,"(55.68561379, 12.58451199)","Sølvgade 15, 1307 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,52, 1,52,Vandskyllende toilet i enheden,2, 1,-
