,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0, Niverød Kongevej 7 2990 Nivå ,2830000.0,2022-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/210/9505/0E31F3A8-EBBD-427D-B2A4-8B054677F9A1,https://www.boliga.dk//bbrinfo/0e31f3a8-ebbd-427d-b2a4-8b054677f9a1,"(55.93758505, 12.48641571)","Niverød Kongevej 7, Niverød, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,129, 1,129,Vandskyllende toilet i enheden,6, 1,-
5, Nøddehøj 231 2990 Nivå ,1000000.0,2022-02-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/210/13454/D0EC905B-908E-47A4-A750-9463D017369D,https://www.boliga.dk//bbrinfo/d0ec905b-908e-47a4-a750-9463d017369d,"(55.94482132, 12.50603321)","Nøddehøj 231, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,90, 1,90,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
6, Nøddehøj 231 2990 Nivå ,2380000.0,2017-01-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/210/13454/D0EC905B-908E-47A4-A750-9463D017369D,https://www.boliga.dk//bbrinfo/d0ec905b-908e-47a4-a750-9463d017369d,"(55.94482132, 12.50603321)","Nøddehøj 231, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,90, 1,90,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
7, Nøddehøj 231 2990 Nivå ,1740000.0,2009-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/210/13454/D0EC905B-908E-47A4-A750-9463D017369D,https://www.boliga.dk//bbrinfo/d0ec905b-908e-47a4-a750-9463d017369d,"(55.94482132, 12.50603321)","Nøddehøj 231, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,90, 1,90,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
8, Nøddehøj 231 2990 Nivå ,1819000.0,2008-03-01, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/210/13454/D0EC905B-908E-47A4-A750-9463D017369D,https://www.boliga.dk//bbrinfo/d0ec905b-908e-47a4-a750-9463d017369d,"(55.94482132, 12.50603321)","Nøddehøj 231, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,90, 1,90,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
9, Tjørnen 212 2990 Nivå ,2750000.0,2022-04-05, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/210/11142/33055751-2D91-4A67-A49A-BABAE7BDD9C0,https://www.boliga.dk//bbrinfo/33055751-2d91-4a67-a49a-babae7bdd9c0,"(55.94280275, 12.49999367)","Tjørnen 212, Niverød, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,111, 1,111,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
10, Tjørnen 212 2990 Nivå ,2750000.0,2020-10-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/210/11142/33055751-2D91-4A67-A49A-BABAE7BDD9C0,https://www.boliga.dk//bbrinfo/33055751-2d91-4a67-a49a-babae7bdd9c0,"(55.94280275, 12.49999367)","Tjørnen 212, Niverød, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,111, 1,111,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
11, Tjørnen 212 2990 Nivå ,1657500.0,2007-04-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/210/11142/33055751-2D91-4A67-A49A-BABAE7BDD9C0,https://www.boliga.dk//bbrinfo/33055751-2d91-4a67-a49a-babae7bdd9c0,"(55.94280275, 12.49999367)","Tjørnen 212, Niverød, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,111, 1,111,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
13, Holtebakken 31 2990 Nivå ,2700000.0,2022-04-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/210/8995/B32E53E2-9372-4106-9240-8D2E9957671E,https://www.boliga.dk//bbrinfo/b32e53e2-9372-4106-9240-8d2e9957671e,"(55.93789103, 12.49263694)","Holtebakken 31, Niverød, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,95, 1,95,Vandskyllende toilet i enheden,4, 1,-
14, Holtebakken 31 2990 Nivå ,1650000.0,2009-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/210/8995/B32E53E2-9372-4106-9240-8D2E9957671E,https://www.boliga.dk//bbrinfo/b32e53e2-9372-4106-9240-8d2e9957671e,"(55.93789103, 12.49263694)","Holtebakken 31, Niverød, 2990 Nivå",0210,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,95, 1,95,Vandskyllende toilet i enheden,4, 1,-
