,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Puggaardsgade 6, st. tv 1573 København V ",1827500.0,2022-03-09, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/446352/1D3E1E7C-43F3-4923-8096-126A9DFD235C,https://www.boliga.dk//bbrinfo/1d3e1e7c-43f3-4923-8096-126a9dfd235c,"(55.67181175, 12.57363058)","Puggaardsgade 6, 1573 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,109, 1,109,Vandskyllende toilet i enheden,4, 1,-
2," Puggaardsgade 10, 2. tv 1573 København V ",7750000.0,2022-01-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/446670/37C4C190-9823-453C-A053-8EC6088B2CC2,https://www.boliga.dk//bbrinfo/37c4c190-9823-453c-a053-8ec6088b2cc2,"(55.6716022, 12.57405154)","Puggaardsgade 10, 1573 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,134, 1,134,Vandskyllende toilet i enheden,5, 1,-
3," Puggaardsgade 10, 2. tv 1573 København V ",2701000.0,2016-04-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/446670/37C4C190-9823-453C-A053-8EC6088B2CC2,https://www.boliga.dk//bbrinfo/37c4c190-9823-453c-a053-8ec6088b2cc2,"(55.6716022, 12.57405154)","Puggaardsgade 10, 1573 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,134, 1,134,Vandskyllende toilet i enheden,5, 1,-
8," Puggaardsgade 13, 5. th 1573 København V ",11400000.0,2021-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/446956/10E049E4-F036-4F43-BAEF-CA91BDBB2FE8,https://www.boliga.dk//bbrinfo/10e049e4-f036-4f43-baef-ca91bdbb2fe8,"(55.6713983, 12.57509576)","Puggaardsgade 13, kl., 1573 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,228, 2,228,Vandskyllende toilet i enheden,8, 2,-
9," Puggaardsgade 13, 5. th 1573 København V ",4995000.0,2013-02-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/446956/10E049E4-F036-4F43-BAEF-CA91BDBB2FE8,https://www.boliga.dk//bbrinfo/10e049e4-f036-4f43-baef-ca91bdbb2fe8,"(55.6713983, 12.57509576)","Puggaardsgade 13, kl., 1573 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,228, 2,228,Vandskyllende toilet i enheden,8, 2,-
10," Puggaardsgade 13, 5. th 1573 København V ",3500000.0,2009-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/446956/10E049E4-F036-4F43-BAEF-CA91BDBB2FE8,https://www.boliga.dk//bbrinfo/10e049e4-f036-4f43-baef-ca91bdbb2fe8,"(55.6713983, 12.57509576)","Puggaardsgade 13, kl., 1573 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,228, 2,228,Vandskyllende toilet i enheden,8, 2,-
13," Stoltenbergsgade 5, 5. tv 1576 København V ",2240000.0,2021-12-10, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/432190/4F8B81FA-AB83-46D2-9F60-8520438B1900,https://www.boliga.dk//bbrinfo/4f8b81fa-ab83-46d2-9f60-8520438b1900,"(55.67120997, 12.57015364)","Stoltenbergsgade 5, 5. th, 1576 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
14," Stoltenbergsgade 5, 5. tv 1576 København V ",3600000.0,2015-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/432190/4F8B81FA-AB83-46D2-9F60-8520438B1900,https://www.boliga.dk//bbrinfo/4f8b81fa-ab83-46d2-9f60-8520438b1900,"(55.67120997, 12.57015364)","Stoltenbergsgade 5, 5. th, 1576 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
15," Stoltenbergsgade 5, 5. tv 1576 København V ",3800000.0,2007-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/432190/4F8B81FA-AB83-46D2-9F60-8520438B1900,https://www.boliga.dk//bbrinfo/4f8b81fa-ab83-46d2-9f60-8520438b1900,"(55.67120997, 12.57015364)","Stoltenbergsgade 5, 5. th, 1576 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
17," Bernstorffsgade 23, 3 1577 København V ",7900000.0,2021-12-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/1529/410097D0-F194-40A6-89CB-D8864DF9CCD6,https://www.boliga.dk//bbrinfo/410097d0-f194-40a6-89cb-d8864df9ccd6,"(55.67037824, 12.5695819)","Bernstorffsgade 23, 1577 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,179, 2,179,Vandskyllende toilet i enheden,4, 2,-
