,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Ny Carlsberg Vej 2, 3. tv 1760 København V ",3400000.0,2021-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400158/B079ABCF-B061-441B-BA91-17B4920F89D7,https://www.boliga.dk//bbrinfo/b079abcf-b061-441b-ba91-17b4920f89d7,"(55.6654826, 12.54736)","Ny Carlsberg Vej 2, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,3, 1,-
1," Ny Carlsberg Vej 2, 3. tv 1760 København V ",2661000.0,2014-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400158/B079ABCF-B061-441B-BA91-17B4920F89D7,https://www.boliga.dk//bbrinfo/b079abcf-b061-441b-ba91-17b4920f89d7,"(55.6654826, 12.54736)","Ny Carlsberg Vej 2, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,3, 1,-
2," Ny Carlsberg Vej 2, 3. tv 1760 København V ",1925000.0,2011-01-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400158/B079ABCF-B061-441B-BA91-17B4920F89D7,https://www.boliga.dk//bbrinfo/b079abcf-b061-441b-ba91-17b4920f89d7,"(55.6654826, 12.54736)","Ny Carlsberg Vej 2, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,3, 1,-
8," Ny Carlsberg Vej 6, st. tv 1760 København V ",2700000.0,2021-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400255/EAA18EF1-00CB-4362-9CA5-F12DE4897924,https://www.boliga.dk//bbrinfo/eaa18ef1-00cb-4362-9ca5-f12de4897924,"(55.6655851, 12.54688488)","Ny Carlsberg Vej 6, 1. th, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
9," Ny Carlsberg Vej 6, st. tv 1760 København V ",2525000.0,2016-06-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400255/EAA18EF1-00CB-4362-9CA5-F12DE4897924,https://www.boliga.dk//bbrinfo/eaa18ef1-00cb-4362-9ca5-f12de4897924,"(55.6655851, 12.54688488)","Ny Carlsberg Vej 6, 1. th, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
10," Ny Carlsberg Vej 6, st. tv 1760 København V ",1575000.0,2015-12-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400255/EAA18EF1-00CB-4362-9CA5-F12DE4897924,https://www.boliga.dk//bbrinfo/eaa18ef1-00cb-4362-9ca5-f12de4897924,"(55.6655851, 12.54688488)","Ny Carlsberg Vej 6, 1. th, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,55, 1,55,Vandskyllende toilet i enheden,2, 1,-
15," Ny Carlsberg Vej 6, st. th 1760 København V ",4450000.0,2021-01-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400247/C72991DB-FD4F-4B51-BFCA-42CBDAC03192,https://www.boliga.dk//bbrinfo/c72991db-fd4f-4b51-bfca-42cbdac03192,"(55.6655851, 12.54688488)","Ny Carlsberg Vej 6, 1. th, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,3, 1,-
19," Ny Carlsberg Vej 6, 3. th 1760 København V ",4865000.0,2020-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400301/717B9A2F-D244-4760-A627-5B6F92271506,https://www.boliga.dk//bbrinfo/717b9a2f-d244-4760-a627-5b6f92271506,"(55.6655851, 12.54688488)","Ny Carlsberg Vej 6, 1. th, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,4, 1,-
20," Ny Carlsberg Vej 6, 3. th 1760 København V ",4250000.0,2016-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400301/717B9A2F-D244-4760-A627-5B6F92271506,https://www.boliga.dk//bbrinfo/717b9a2f-d244-4760-a627-5b6f92271506,"(55.6655851, 12.54688488)","Ny Carlsberg Vej 6, 1. th, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,4, 1,-
21," Ny Carlsberg Vej 6, 3. th 1760 København V ",2525000.0,2011-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/400301/717B9A2F-D244-4760-A627-5B6F92271506,https://www.boliga.dk//bbrinfo/717b9a2f-d244-4760-a627-5b6f92271506,"(55.6655851, 12.54688488)","Ny Carlsberg Vej 6, 1. th, 1760 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,4, 1,-
