,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Sønder Boulevard 74, 5. th 1720 København V ",2168000.0,2022-01-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/6221/DAA14C83-1DE0-4640-8BAC-37F2142BA75F,https://www.boliga.dk//bbrinfo/daa14c83-1de0-4640-8bac-37f2142ba75f,"(55.66549225, 12.54914861)","Sønder Boulevard 74, 1. th, 1720 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
1," Sønder Boulevard 74, 5. th 1720 København V ",5500000.0,2021-09-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/6221/DAA14C83-1DE0-4640-8BAC-37F2142BA75F,https://www.boliga.dk//bbrinfo/daa14c83-1de0-4640-8bac-37f2142ba75f,"(55.66549225, 12.54914861)","Sønder Boulevard 74, 1. th, 1720 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
2," Sønder Boulevard 74, 5. th 1720 København V ",1350000.0,2016-09-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/6221/DAA14C83-1DE0-4640-8BAC-37F2142BA75F,https://www.boliga.dk//bbrinfo/daa14c83-1de0-4640-8bac-37f2142ba75f,"(55.66549225, 12.54914861)","Sønder Boulevard 74, 1. th, 1720 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
3," Sønder Boulevard 74, 5. th 1720 København V ",4495000.0,2015-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/6221/DAA14C83-1DE0-4640-8BAC-37F2142BA75F,https://www.boliga.dk//bbrinfo/daa14c83-1de0-4640-8bac-37f2142ba75f,"(55.66549225, 12.54914861)","Sønder Boulevard 74, 1. th, 1720 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
4," Sønder Boulevard 74, 5. th 1720 København V ",2925000.0,2012-02-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/6221/DAA14C83-1DE0-4640-8BAC-37F2142BA75F,https://www.boliga.dk//bbrinfo/daa14c83-1de0-4640-8bac-37f2142ba75f,"(55.66549225, 12.54914861)","Sønder Boulevard 74, 1. th, 1720 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
5," Sønder Boulevard 74, 5. th 1720 København V ",1000000.0,2007-07-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/6221/DAA14C83-1DE0-4640-8BAC-37F2142BA75F,https://www.boliga.dk//bbrinfo/daa14c83-1de0-4640-8bac-37f2142ba75f,"(55.66549225, 12.54914861)","Sønder Boulevard 74, 1. th, 1720 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
6," Dybbølsgade 66, 2. th 1721 København V ",632500.0,2022-04-10, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/106810/AB99BA59-0E70-4FF9-B366-0C217A0CE32B,https://www.boliga.dk//bbrinfo/ab99ba59-0e70-4ff9-b366-0c217a0ce32b,"(55.66710816, 12.54833431)","Dybbølsgade 66, 1721 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,52, 1,52,Vandskyllende toilet i enheden,2, 1,-
7," Dybbølsgade 66, 2. th 1721 København V ",2495000.0,2017-06-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/106810/AB99BA59-0E70-4FF9-B366-0C217A0CE32B,https://www.boliga.dk//bbrinfo/ab99ba59-0e70-4ff9-b366-0c217a0ce32b,"(55.66710816, 12.54833431)","Dybbølsgade 66, 1721 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,52, 1,52,Vandskyllende toilet i enheden,2, 1,-
8," Dybbølsgade 66, 2. th 1721 København V ",1890000.0,2014-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/106810/AB99BA59-0E70-4FF9-B366-0C217A0CE32B,https://www.boliga.dk//bbrinfo/ab99ba59-0e70-4ff9-b366-0c217a0ce32b,"(55.66710816, 12.54833431)","Dybbølsgade 66, 1721 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,52, 1,52,Vandskyllende toilet i enheden,2, 1,-
16," Esbern Snares Gade 9, 2. th 1725 København V ",3600000.0,2022-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/130908/040B6ABA-5EF5-4155-9B8C-327B7E5A9C0D,https://www.boliga.dk//bbrinfo/040b6aba-5ef5-4155-9b8c-327b7e5a9c0d,"(55.66541214, 12.55454863)","Esbern Snares Gade 9, 1. th, 1725 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,76, 1,76,Vandskyllende toilet i enheden,4, 1,-
