,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Toldbodgade 10C, 3 1253 København K ",9000000.0,2022-03-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/152120/F160A980-6F3E-4EAF-B7BD-9B02CAD32B46,https://www.boliga.dk//bbrinfo/f160a980-6f3e-4eaf-b7bd-9b02cad32b46,"(55.68016437, 12.59265456)","Toldbodgade 10C, 1., 1253 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,131, 1,131,Vandskyllende toilet i enheden,3, 1,-
1," Toldbodgade 10C, 3 1253 København K ",7500000.0,2022-03-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/152120/F160A980-6F3E-4EAF-B7BD-9B02CAD32B46,https://www.boliga.dk//bbrinfo/f160a980-6f3e-4eaf-b7bd-9b02cad32b46,"(55.68016437, 12.59265456)","Toldbodgade 10C, 1., 1253 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,131, 1,131,Vandskyllende toilet i enheden,3, 1,-
2," Toldbodgade 10C, 3 1253 København K ",2150000.0,2018-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/152120/F160A980-6F3E-4EAF-B7BD-9B02CAD32B46,https://www.boliga.dk//bbrinfo/f160a980-6f3e-4eaf-b7bd-9b02cad32b46,"(55.68016437, 12.59265456)","Toldbodgade 10C, 1., 1253 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,131, 1,131,Vandskyllende toilet i enheden,3, 1,-
3," Amaliegade 13G, 2 1256 København K ",11700000.0,2022-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/615090/AA7226BC-BEA6-41E2-96BA-6F09CA40B592,https://www.boliga.dk//bbrinfo/aa7226bc-bea6-41e2-96ba-6f09ca40b592,"(55.68343934, 12.59128688)","Amaliegade 13G, 1256 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,98, 1,98,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
4," Amaliegade 13G, 2 1256 København K ",8000000.0,2018-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/615090/AA7226BC-BEA6-41E2-96BA-6F09CA40B592,https://www.boliga.dk//bbrinfo/aa7226bc-bea6-41e2-96ba-6f09ca40b592,"(55.68343934, 12.59128688)","Amaliegade 13G, 1256 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,98, 1,98,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
5," Amaliegade 13G, 2 1256 København K ",7375000.0,2017-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/615090/AA7226BC-BEA6-41E2-96BA-6F09CA40B592,https://www.boliga.dk//bbrinfo/aa7226bc-bea6-41e2-96ba-6f09ca40b592,"(55.68343934, 12.59128688)","Amaliegade 13G, 1256 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,98, 1,98,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
6," Amaliegade 13G, 2 1256 København K ",4700000.0,2010-06-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/615090/AA7226BC-BEA6-41E2-96BA-6F09CA40B592,https://www.boliga.dk//bbrinfo/aa7226bc-bea6-41e2-96ba-6f09ca40b592,"(55.68343934, 12.59128688)","Amaliegade 13G, 1256 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,98, 1,98,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
7," Amaliegade 13G, 2 1256 København K ",2800000.0,2009-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/615090/AA7226BC-BEA6-41E2-96BA-6F09CA40B592,https://www.boliga.dk//bbrinfo/aa7226bc-bea6-41e2-96ba-6f09ca40b592,"(55.68343934, 12.59128688)","Amaliegade 13G, 1256 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,98, 1,98,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
9," Amaliegade 11A, 3 1256 København K ",20500000.0,2022-02-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/888568/C906BBBE-48B4-44F1-B7D9-BECC2AA4BEF1,https://www.boliga.dk//bbrinfo/c906bbbe-48b4-44f1-b7d9-becc2aa4bef1,"(55.6828607, 12.59160048)","Amaliegade 11A, 1., 1256 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,247, 2,247,Vandskyllende toilet i enheden,7, 2,-
10," Amaliegade 11A, 3 1256 København K ",3700000.0,2017-12-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/888568/C906BBBE-48B4-44F1-B7D9-BECC2AA4BEF1,https://www.boliga.dk//bbrinfo/c906bbbe-48b4-44f1-b7d9-becc2aa4bef1,"(55.6828607, 12.59160048)","Amaliegade 11A, 1., 1256 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,247, 2,247,Vandskyllende toilet i enheden,7, 2,-
