,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Søllerød Park 3, 1. 14 2840 Holte ",3175000.0,2022-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/9555/ADBE769F-7CD4-43FE-9DCE-0EAEDC119C70,https://www.boliga.dk//bbrinfo/adbe769f-7cd4-43fe-9dce-0eaedc119c70,"(55.80936488, 12.50468566)","Søllerød Park 3, st. 3, Søllerød, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,3, 1,-
1," Søllerød Park 3, 1. 14 2840 Holte ",3175000.0,2021-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/9555/ADBE769F-7CD4-43FE-9DCE-0EAEDC119C70,https://www.boliga.dk//bbrinfo/adbe769f-7cd4-43fe-9dce-0eaedc119c70,"(55.80936488, 12.50468566)","Søllerød Park 3, st. 3, Søllerød, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,3, 1,-
2," Søllerød Park 3, 1. 14 2840 Holte ",2375000.0,2017-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/9555/ADBE769F-7CD4-43FE-9DCE-0EAEDC119C70,https://www.boliga.dk//bbrinfo/adbe769f-7cd4-43fe-9dce-0eaedc119c70,"(55.80936488, 12.50468566)","Søllerød Park 3, st. 3, Søllerød, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,3, 1,-
3," Søllerød Park 3, 1. 14 2840 Holte ",1840000.0,2015-02-06, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/9555/ADBE769F-7CD4-43FE-9DCE-0EAEDC119C70,https://www.boliga.dk//bbrinfo/adbe769f-7cd4-43fe-9dce-0eaedc119c70,"(55.80936488, 12.50468566)","Søllerød Park 3, st. 3, Søllerød, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,3, 1,-
4," Søllerød Park 3, 1. 14 2840 Holte ",1695000.0,2012-12-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/9555/ADBE769F-7CD4-43FE-9DCE-0EAEDC119C70,https://www.boliga.dk//bbrinfo/adbe769f-7cd4-43fe-9dce-0eaedc119c70,"(55.80936488, 12.50468566)","Søllerød Park 3, st. 3, Søllerød, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,88, 1,88,Vandskyllende toilet i enheden,3, 1,-
8, Vejdammen 81 2840 Holte ,2400000.0,2022-03-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/230/8263/1AB8C51C-EAE0-4270-B38F-366B70B243E9,https://www.boliga.dk//bbrinfo/1ab8c51c-eae0-4270-b38f-366b70b243e9,"(55.84346806, 12.50809199)","Vejdammen 81, Gl Holte, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,143, 2,143,Vandskyllende toilet i enheden,6, 2,230 V el fra værk
10, Tesch Alle 14 2840 Holte ,17325000.0,2022-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/7796/DCC85A1C-CE24-4D4E-8047-CECA439D1656,https://www.boliga.dk//bbrinfo/dcc85a1c-ce24-4d4e-8047-ceca439d1656,"(55.80941964, 12.45160605)","Tesch Alle 14, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,149, 2,149,Vandskyllende toilet i enheden,5, 3,-
11, Tesch Alle 14 2840 Holte ,17325000.0,2015-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/7796/DCC85A1C-CE24-4D4E-8047-CECA439D1656,https://www.boliga.dk//bbrinfo/dcc85a1c-ce24-4d4e-8047-ceca439d1656,"(55.80941964, 12.45160605)","Tesch Alle 14, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,149, 2,149,Vandskyllende toilet i enheden,5, 3,-
13, Kongevejen 388 2840 Holte ,6200000.0,2022-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/3583/D66E0989-FA73-41BF-A382-0E906247DB24,https://www.boliga.dk//bbrinfo/d66e0989-fa73-41bf-a382-0e906247db24,"(55.81783721, 12.46896796)","Kongevejen 388, Øverød, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,146, 2,146,Vandskyllende toilet i enheden,5, 2,400 V el fra værk
14, Kongevejen 388 2840 Holte ,4800000.0,2018-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/3583/D66E0989-FA73-41BF-A382-0E906247DB24,https://www.boliga.dk//bbrinfo/d66e0989-fa73-41bf-a382-0e906247db24,"(55.81783721, 12.46896796)","Kongevejen 388, Øverød, 2840 Holte",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,146, 2,146,Vandskyllende toilet i enheden,5, 2,400 V el fra værk
