,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Eriksgade 3, 2. th 1708 København V ",2495000.0,2022-03-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/129403/95D91E09-595A-477C-93FB-D4CDAEBAFB66,https://www.boliga.dk//bbrinfo/95d91e09-595a-477c-93fb-d4cdaebafb66,"(55.66968562, 12.55786644)","Eriksgade 3, 3. th, 1708 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,41, 1,41,Vandskyllende toilet i enheden,2, 1,-
1," Eriksgade 3, 2. th 1708 København V ",1645000.0,2014-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/129403/95D91E09-595A-477C-93FB-D4CDAEBAFB66,https://www.boliga.dk//bbrinfo/95d91e09-595a-477c-93fb-d4cdaebafb66,"(55.66968562, 12.55786644)","Eriksgade 3, 3. th, 1708 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,41, 1,41,Vandskyllende toilet i enheden,2, 1,-
5," Ingerslevsgade 134, st. th 1705 København V ",26650026.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/263304/7FA86458-B3BD-48EB-8C6E-1E54DE6CFFCF,https://www.boliga.dk//bbrinfo/7fa86458-b3bd-48eb-8c6e-1e54de6cffcf,"(55.66451797, 12.55141943)","Ingerslevsgade 134, 1705 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,65, 0,65,Vandskyllende toilet i enheden,2, 1,-
10," Ingerslevsgade 134, st. tv 1705 København V ",26650026.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/263304/FA830D39-AC3E-43EB-9AE0-9421460B9391,https://www.boliga.dk//bbrinfo/fa830d39-ac3e-43eb-9ae0-9421460b9391,"(55.66451797, 12.55141943)","Ingerslevsgade 134, 1705 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,85, 0,85,Vandskyllende toilet i enheden,3, 1,-
15," Ingerslevsgade 134, 1. th 1705 København V ",26650026.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/263304/FC5F799D-00D0-4CCC-B1B0-B538CE3F6A92,https://www.boliga.dk//bbrinfo/fc5f799d-00d0-4ccc-b1b0-b538ce3f6a92,"(55.66451797, 12.55141943)","Ingerslevsgade 134, 1705 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,65, 0,65,Vandskyllende toilet i enheden,2, 1,-
20," Ingerslevsgade 134, 2. th 1705 København V ",26650026.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/263304/F30D3C58-8FC6-460C-B710-0230ED6817CB,https://www.boliga.dk//bbrinfo/f30d3c58-8fc6-460c-b710-0230ed6817cb,"(55.66451797, 12.55141943)","Ingerslevsgade 134, 1705 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,65, 0,65,Vandskyllende toilet i enheden,2, 1,-
25," Ingerslevsgade 134, 1. tv 1705 København V ",26650026.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/263304/4447363A-4D9F-4BDC-A974-C64EFF5EEF59,https://www.boliga.dk//bbrinfo/4447363a-4d9f-4bdc-a974-c64eff5eef59,"(55.66451797, 12.55141943)","Ingerslevsgade 134, 1705 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,85, 0,85,Vandskyllende toilet i enheden,3, 1,-
30," Ingerslevsgade 134, 3. tv 1705 København V ",26650026.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/263304/0F93AA80-49ED-4D1F-B48E-EFD099AEADB1,https://www.boliga.dk//bbrinfo/0f93aa80-49ed-4d1f-b48e-efd099aeadb1,"(55.66451797, 12.55141943)","Ingerslevsgade 134, 1705 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,85, 0,85,Vandskyllende toilet i enheden,3, 1,-
35," Ingerslevsgade 134, 2. tv 1705 København V ",26650026.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/263304/887555B6-6B1D-45A3-906B-5CC559F955F6,https://www.boliga.dk//bbrinfo/887555b6-6b1d-45a3-906b-5cc559f955f6,"(55.66451797, 12.55141943)","Ingerslevsgade 134, 1705 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,85, 0,85,Vandskyllende toilet i enheden,3, 1,-
40," Ingerslevsgade 134, 3. th 1705 København V ",26650026.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/263304/A2D58427-95CE-4412-85DC-4EA151526579,https://www.boliga.dk//bbrinfo/a2d58427-95ce-4412-85dc-4ea151526579,"(55.66451797, 12.55141943)","Ingerslevsgade 134, 1705 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,65, 0,65,Vandskyllende toilet i enheden,2, 1,-
