,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Store Kongensgade 67A, 1. th 1264 København K ",11350000.0,2022-04-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/766780/56F56F5E-8C78-47D2-9799-5AA98FB2109F,https://www.boliga.dk//bbrinfo/56f56f5e-8c78-47d2-9799-5aa98fb2109f,,nan,,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,201, 1,136,Vandskyllende toilet i enheden,5, 2,-
1," Store Kongensgade 67A, 1. th 1264 København K ",4900000.0,2010-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/766780/56F56F5E-8C78-47D2-9799-5AA98FB2109F,https://www.boliga.dk//bbrinfo/56f56f5e-8c78-47d2-9799-5aa98fb2109f,,nan,,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,201, 1,136,Vandskyllende toilet i enheden,5, 2,-
2," Store Kongensgade 67A, 1. th 1264 København K ",4600000.0,2009-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/766780/56F56F5E-8C78-47D2-9799-5AA98FB2109F,https://www.boliga.dk//bbrinfo/56f56f5e-8c78-47d2-9799-5aa98fb2109f,,nan,,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,201, 1,136,Vandskyllende toilet i enheden,5, 2,-
5," Store Kongensgade 63A, 4. 4 1264 København K ",5300000.0,2022-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/686540/FBB2C373-02C2-4A33-8814-7F5D3D5166C4,https://www.boliga.dk//bbrinfo/fbb2c373-02c2-4a33-8814-7f5d3d5166c4,"(55.68484108, 12.58685983)","Store Kongensgade 63A, 1264 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,69, 1,69,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
6," Store Kongensgade 63A, 4. 4 1264 København K ",4300000.0,2018-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/686540/FBB2C373-02C2-4A33-8814-7F5D3D5166C4,https://www.boliga.dk//bbrinfo/fbb2c373-02c2-4a33-8814-7f5d3d5166c4,"(55.68484108, 12.58685983)","Store Kongensgade 63A, 1264 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,69, 1,69,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
7," Store Kongensgade 63A, 4. 4 1264 København K ",2905000.0,2014-03-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/686540/FBB2C373-02C2-4A33-8814-7F5D3D5166C4,https://www.boliga.dk//bbrinfo/fbb2c373-02c2-4a33-8814-7f5d3d5166c4,"(55.68484108, 12.58685983)","Store Kongensgade 63A, 1264 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,69, 1,69,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
9," Store Kongensgade 67D, st. tv 1264 København K ",5560000.0,2022-03-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/766853/288C3A67-A61B-4795-AF8D-ABCC2776659B,https://www.boliga.dk//bbrinfo/288c3a67-a61b-4795-af8d-abcc2776659b,"(55.68484577, 12.58768328)","Store Kongensgade 67D, st. tv, 1264 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,84, 1,84,Vandskyllende toilet i enheden,3, 1,-
10," Store Kongensgade 67D, st. tv 1264 København K ",1700000.0,2015-05-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/766853/288C3A67-A61B-4795-AF8D-ABCC2776659B,https://www.boliga.dk//bbrinfo/288c3a67-a61b-4795-af8d-abcc2776659b,"(55.68484577, 12.58768328)","Store Kongensgade 67D, st. tv, 1264 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,84, 1,84,Vandskyllende toilet i enheden,3, 1,-
11," Store Kongensgade 90A, 2 1264 København K ",9300000.0,2022-03-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/949737/41B46877-A504-4469-BE6E-B684FD942101,https://www.boliga.dk//bbrinfo/41b46877-a504-4469-be6e-b684fd942101,"(55.68568574, 12.58938105)","Store Kongensgade 90A, st., 1264 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,209, 2,209,Vandskyllende toilet i enheden,5, 2,-
12," Store Kongensgade 90A, 2 1264 København K ",9000000.0,2020-04-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/949737/41B46877-A504-4469-BE6E-B684FD942101,https://www.boliga.dk//bbrinfo/41b46877-a504-4469-be6e-b684fd942101,"(55.68568574, 12.58938105)","Store Kongensgade 90A, st., 1264 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,209, 2,209,Vandskyllende toilet i enheden,5, 2,-
