,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Fredericiagade 30, 3. tv 1310 København K ",1855000.0,2022-04-06, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/866513/0A982BDE-F8B7-4FFC-AD1F-39E2A34652CC,https://www.boliga.dk//bbrinfo/0a982bde-f8b7-4ffc-ad1f-39e2a34652cc,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,69, 1,69,Vandskyllende toilet i enheden,2, 1,-
1," Fredericiagade 30, 3. tv 1310 København K ",2350000.0,2013-06-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/866513/0A982BDE-F8B7-4FFC-AD1F-39E2A34652CC,https://www.boliga.dk//bbrinfo/0a982bde-f8b7-4ffc-ad1f-39e2a34652cc,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,69, 1,69,Vandskyllende toilet i enheden,2, 1,-
2," Fredericiagade 30, 3. tv 1310 København K ",2275000.0,2011-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/866513/0A982BDE-F8B7-4FFC-AD1F-39E2A34652CC,https://www.boliga.dk//bbrinfo/0a982bde-f8b7-4ffc-ad1f-39e2a34652cc,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,69, 1,69,Vandskyllende toilet i enheden,2, 1,-
3," Fredericiagade 30, 3. tv 1310 København K ",2840000.0,2007-03-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/866513/0A982BDE-F8B7-4FFC-AD1F-39E2A34652CC,https://www.boliga.dk//bbrinfo/0a982bde-f8b7-4ffc-ad1f-39e2a34652cc,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,69, 1,69,Vandskyllende toilet i enheden,2, 1,-
7," Olfert Fischers Gade 3, 4. th 1311 København K ",5300000.0,2022-04-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/419789/97DCB505-A599-4AA9-BAB8-684E741C5909,https://www.boliga.dk//bbrinfo/97dcb505-a599-4aa9-bab8-684e741c5909,"(55.68655025, 12.58881141)","Olfert Fischers Gade 3, 3. th, 1311 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,72, 1,72,Vandskyllende toilet i enheden,2, 1,-
8," Olfert Fischers Gade 3, 4. th 1311 København K ",3900000.0,2022-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/419789/97DCB505-A599-4AA9-BAB8-684E741C5909,https://www.boliga.dk//bbrinfo/97dcb505-a599-4aa9-bab8-684e741c5909,"(55.68655025, 12.58881141)","Olfert Fischers Gade 3, 3. th, 1311 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,72, 1,72,Vandskyllende toilet i enheden,2, 1,-
9," Olfert Fischers Gade 3, 4. th 1311 København K ",3700000.0,2020-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/419789/97DCB505-A599-4AA9-BAB8-684E741C5909,https://www.boliga.dk//bbrinfo/97dcb505-a599-4aa9-bab8-684e741c5909,"(55.68655025, 12.58881141)","Olfert Fischers Gade 3, 3. th, 1311 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,72, 1,72,Vandskyllende toilet i enheden,2, 1,-
11," Sankt Pauls Gade 10, st. tv 1313 København K ",2515000.0,2022-03-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/783677/F6CA3817-0981-471D-9E52-BA4A3E4FBCDD,https://www.boliga.dk//bbrinfo/f6ca3817-0981-471d-9e52-ba4a3e4fbcdd,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,36, 1,36,Vandskyllende toilet i enheden,2, 1,-
12," Sankt Pauls Gade 10, st. tv 1313 København K ",1500000.0,2015-01-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/783677/F6CA3817-0981-471D-9E52-BA4A3E4FBCDD,https://www.boliga.dk//bbrinfo/f6ca3817-0981-471d-9e52-ba4a3e4fbcdd,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,36, 1,36,Vandskyllende toilet i enheden,2, 1,-
15," Rævegade 2, 2 1315 København K ",2900000.0,2022-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/19568/C5190461-543A-4EC2-9A8B-5FA43BB44B5F,https://www.boliga.dk//bbrinfo/c5190461-543a-4ec2-9a8b-5fa43bb44b5f,"(55.68762256, 12.58821114)","Rævegade 2, 2., 1315 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,46, 1,46,Vandskyllende toilet i enheden,1, 1,400 V el fra værk
16," Sankt Pauls Gade 4, 3. tv 1313 København K ",3650000.0,2022-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/783855/0BCC93D0-9EED-4D30-864A-9CFB5836DDCF,https://www.boliga.dk//bbrinfo/0bcc93d0-9eed-4d30-864a-9cfb5836ddcf,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,48, 1,48,Vandskyllende toilet i enheden,1, 1,-
17," Sankt Pauls Gade 4, 3. tv 1313 København K ",3000000.0,2018-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/783855/0BCC93D0-9EED-4D30-864A-9CFB5836DDCF,https://www.boliga.dk//bbrinfo/0bcc93d0-9eed-4d30-864a-9cfb5836ddcf,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,48, 1,48,Vandskyllende toilet i enheden,1, 1,-
18," Sankt Pauls Gade 4, 3. tv 1313 København K ",1650000.0,2017-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/783855/0BCC93D0-9EED-4D30-864A-9CFB5836DDCF,https://www.boliga.dk//bbrinfo/0bcc93d0-9eed-4d30-864a-9cfb5836ddcf,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,48, 1,48,Vandskyllende toilet i enheden,1, 1,-
19," Sankt Pauls Gade 4, 3. tv 1313 København K ",1650000.0,2013-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/783855/0BCC93D0-9EED-4D30-864A-9CFB5836DDCF,https://www.boliga.dk//bbrinfo/0bcc93d0-9eed-4d30-864a-9cfb5836ddcf,,nan,,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,48, 1,48,Vandskyllende toilet i enheden,1, 1,-
25," Fredericiagade 25, 3 1310 København K ",4000000.0,2022-03-04, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/12916/9A76A109-0965-4A8F-8634-5298625D2081,https://www.boliga.dk//bbrinfo/9a76a109-0965-4a8f-8634-5298625d2081,"(55.68571384, 12.59042361)","Fredericiagade 25, 1., 1310 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,118, 1,118,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
