,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Steenwinkelsvej 4B, st 1966 Frederiksberg C ",9450000.0,2022-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/116624/D4A992CB-05F7-4899-98E7-C74E4D3B120E,https://www.boliga.dk//bbrinfo/d4a992cb-05f7-4899-98e7-c74e4d3b120e,"(55.683464, 12.55171301)","Steenwinkelsvej 4B, 1966 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,130, 1,130,Vandskyllende toilet i enheden,3, 1,-
1," Steenwinkelsvej 4B, st 1966 Frederiksberg C ",6030000.0,2017-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/116624/D4A992CB-05F7-4899-98E7-C74E4D3B120E,https://www.boliga.dk//bbrinfo/d4a992cb-05f7-4899-98e7-c74e4d3b120e,"(55.683464, 12.55171301)","Steenwinkelsvej 4B, 1966 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,130, 1,130,Vandskyllende toilet i enheden,3, 1,-
2," Steenwinkelsvej 4B, st 1966 Frederiksberg C ",4450000.0,2013-03-06, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/116624/D4A992CB-05F7-4899-98E7-C74E4D3B120E,https://www.boliga.dk//bbrinfo/d4a992cb-05f7-4899-98e7-c74e4d3b120e,"(55.683464, 12.55171301)","Steenwinkelsvej 4B, 1966 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,130, 1,130,Vandskyllende toilet i enheden,3, 1,-
10," Åboulevard 47, st. tv 1960 Frederiksberg C ",2000000.0,2022-02-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/147/133472/50251633-B821-4E5E-AA86-4B8363DE12C2,https://www.boliga.dk//bbrinfo/50251633-b821-4e5e-aa86-4b8363de12c2,"(55.68497668, 12.54905751)","Åboulevard 47, 1. th, 1960 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,50, 1,50,Vandskyllende toilet i enheden,2, 1,-
11," Åboulevard 47, st. tv 1960 Frederiksberg C ",2200000.0,2018-12-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/133472/50251633-B821-4E5E-AA86-4B8363DE12C2,https://www.boliga.dk//bbrinfo/50251633-b821-4e5e-aa86-4b8363de12c2,"(55.68497668, 12.54905751)","Åboulevard 47, 1. th, 1960 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,50, 1,50,Vandskyllende toilet i enheden,2, 1,-
12," Åboulevard 47, st. tv 1960 Frederiksberg C ",1795000.0,2015-01-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/133472/50251633-B821-4E5E-AA86-4B8363DE12C2,https://www.boliga.dk//bbrinfo/50251633-b821-4e5e-aa86-4b8363de12c2,"(55.68497668, 12.54905751)","Åboulevard 47, 1. th, 1960 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,50, 1,50,Vandskyllende toilet i enheden,2, 1,-
13," Åboulevard 47, st. tv 1960 Frederiksberg C ",1550000.0,2007-12-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/133472/50251633-B821-4E5E-AA86-4B8363DE12C2,https://www.boliga.dk//bbrinfo/50251633-b821-4e5e-aa86-4b8363de12c2,"(55.68497668, 12.54905751)","Åboulevard 47, 1. th, 1960 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,50, 1,50,Vandskyllende toilet i enheden,2, 1,-
14," Åboulevard 47, st. tv 1960 Frederiksberg C ",1600000.0,2007-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/133472/50251633-B821-4E5E-AA86-4B8363DE12C2,https://www.boliga.dk//bbrinfo/50251633-b821-4e5e-aa86-4b8363de12c2,"(55.68497668, 12.54905751)","Åboulevard 47, 1. th, 1960 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,50, 1,50,Vandskyllende toilet i enheden,2, 1,-
16," Åboulevard 45A, st. th 1960 Frederiksberg C ",2625000.0,2021-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/208022/23F934FD-D05E-4829-8FA0-80EE5320EF8A,https://www.boliga.dk//bbrinfo/23f934fd-d05e-4829-8fa0-80ee5320ef8a,"(55.6849654, 12.54933549)","Åboulevard 45A, kl., 1960 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,62, 1,62,Vandskyllende toilet i enheden,2, 1,-
17," Åboulevard 45A, st. th 1960 Frederiksberg C ",1375000.0,2013-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/147/208022/23F934FD-D05E-4829-8FA0-80EE5320EF8A,https://www.boliga.dk//bbrinfo/23f934fd-d05e-4829-8fa0-80ee5320ef8a,"(55.6849654, 12.54933549)","Åboulevard 45A, kl., 1960 Frederiksberg C",0147,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,62, 1,62,Vandskyllende toilet i enheden,2, 1,-
