,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
3206," Kabbelejevej 13, 2. tv 2700 Brønshøj ",1610000.0,2020-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/287459/8BFC10B3-6FAD-4715-93B6-3B95E9B6801B,https://www.boliga.dk//bbrinfo/8bfc10b3-6fad-4715-93b6-3b95e9b6801b,"(55.70675795, 12.49011892)","Kabbelejevej 13, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,48, 1,48,Vandskyllende toilet i enheden,2, 1,-
3207," Kabbelejevej 13, 2. tv 2700 Brønshøj ",730000.0,2012-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/287459/8BFC10B3-6FAD-4715-93B6-3B95E9B6801B,https://www.boliga.dk//bbrinfo/8bfc10b3-6fad-4715-93b6-3b95e9b6801b,"(55.70675795, 12.49011892)","Kabbelejevej 13, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,48, 1,48,Vandskyllende toilet i enheden,2, 1,-
3212," Frederikssundsvej 408, 1. tv 2700 Brønshøj ",1775000.0,2020-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/164012/426C7FCD-503E-4234-AE75-044FE84C70B4,https://www.boliga.dk//bbrinfo/426c7fcd-503e-4234-ae75-044fe84c70b4,"(55.71620859, 12.46050005)","Frederikssundsvej 408, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
3213," Frederikssundsvej 408, 1. tv 2700 Brønshøj ",700000.0,2008-05-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/164012/426C7FCD-503E-4234-AE75-044FE84C70B4,https://www.boliga.dk//bbrinfo/426c7fcd-503e-4234-ae75-044fe84c70b4,"(55.71620859, 12.46050005)","Frederikssundsvej 408, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
3214, Abildvang 26 2700 Brønshøj ,3710000.0,2020-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/1519/13ED2D77-2A05-4109-9BEE-AF9D5B6C91FE,https://www.boliga.dk//bbrinfo/13ed2d77-2a05-4109-9bee-af9d5b6c91fe,"(55.71506, 12.46414314)","Abildvang 26, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,135, 1,135,Vandskyllende toilet i enheden,5, 2,400 V el fra værk
3215, Abildvang 26 2700 Brønshøj ,3000000.0,2015-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/1519/13ED2D77-2A05-4109-9BEE-AF9D5B6C91FE,https://www.boliga.dk//bbrinfo/13ed2d77-2a05-4109-9bee-af9d5b6c91fe,"(55.71506, 12.46414314)","Abildvang 26, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,135, 1,135,Vandskyllende toilet i enheden,5, 2,400 V el fra værk
3216, Abildvang 26 2700 Brønshøj ,3675000.0,2008-05-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/1519/13ED2D77-2A05-4109-9BEE-AF9D5B6C91FE,https://www.boliga.dk//bbrinfo/13ed2d77-2a05-4109-9bee-af9d5b6c91fe,"(55.71506, 12.46414314)","Abildvang 26, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,135, 1,135,Vandskyllende toilet i enheden,5, 2,400 V el fra værk
3217," Astrupvej 76, 3. th 2700 Brønshøj ",1765000.0,2020-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/32264/996CC25D-912D-4692-843D-AF60D02561BE,https://www.boliga.dk//bbrinfo/996cc25d-912d-4692-843d-af60d02561be,"(55.70493941, 12.49295938)","Astrupvej 76, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,49, 1,49,Vandskyllende toilet i enheden,2, 1,-
3223, Dalvangen 25 2700 Brønshøj ,7750000.0,2020-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/96491/F1E906F3-7468-4150-99D7-A63A0178A768,https://www.boliga.dk//bbrinfo/f1e906f3-7468-4150-99d7-a63a0178a768,"(55.70930903, 12.5055545)","Dalvangen 25, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,192, 2,192,Vandskyllende toilet i enheden,7, 2,230 V el fra værk
3224, Bjergmarksvej 6 2700 Brønshøj ,5850000.0,2020-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/51455/5FD6196B-2B62-446E-9724-E163702CA9A6,https://www.boliga.dk//bbrinfo/5fd6196b-2b62-446e-9724-e163702ca9a6,"(55.71069861, 12.46594928)","Bjergmarksvej 6, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,172, 1,172,Vandskyllende toilet i enheden,6, 2,230 V el fra værk
3226," Arnesvej 11, st. th 2700 Brønshøj ",2245000.0,2020-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/29018/9AE175A4-FC6B-4816-B750-5A8FB4A2F463,https://www.boliga.dk//bbrinfo/9ae175a4-fc6b-4816-b750-5a8fb4a2f463,"(55.70426753, 12.50547095)","Arnesvej 11, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,62, 0,62,Vandskyllende toilet i enheden,3, 1,-
3227," Arnesvej 11, st. th 2700 Brønshøj ",875000.0,2008-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/29018/9AE175A4-FC6B-4816-B750-5A8FB4A2F463,https://www.boliga.dk//bbrinfo/9ae175a4-fc6b-4816-b750-5a8fb4a2f463,"(55.70426753, 12.50547095)","Arnesvej 11, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,62, 0,62,Vandskyllende toilet i enheden,3, 1,-
