,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0, Pederstrupvej 77 2750 Ballerup ,1150000.0,2022-08-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/151/24734/0EAE372C-702A-4271-83A0-3190948C157C,https://www.boliga.dk//bbrinfo/0eae372c-702a-4271-83a0-3190948c157c,"(55.7336933, 12.33708897)","Pederstrupvej 77, 2750 Ballerup",0151,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,157, 1,157,Vandskyllende toilet i enheden,4, 1,-
1, Pederstrupvej 77 2750 Ballerup ,4075000.0,2020-01-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/24734/0EAE372C-702A-4271-83A0-3190948C157C,https://www.boliga.dk//bbrinfo/0eae372c-702a-4271-83a0-3190948c157c,"(55.7336933, 12.33708897)","Pederstrupvej 77, 2750 Ballerup",0151,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,157, 1,157,Vandskyllende toilet i enheden,4, 1,-
2, Tåregårdsvej 13 2750 Ballerup ,4485000.0,2022-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/37437/0DB81977-CB5A-4E70-BA28-76A81E969AA0,https://www.boliga.dk//bbrinfo/0db81977-cb5a-4e70-ba28-76a81e969aa0,"(55.72270257, 12.35348524)","Tåregårdsvej 13, 2750 Ballerup",0151,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,130, 1,130,Vandskyllende toilet i enheden,6, 2,-
3, Tåregårdsvej 13 2750 Ballerup ,3220000.0,2016-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/37437/0DB81977-CB5A-4E70-BA28-76A81E969AA0,https://www.boliga.dk//bbrinfo/0db81977-cb5a-4e70-ba28-76a81e969aa0,"(55.72270257, 12.35348524)","Tåregårdsvej 13, 2750 Ballerup",0151,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,130, 1,130,Vandskyllende toilet i enheden,6, 2,-
6," Højagerparken 1, 2 2750 Ballerup ",263500.0,2022-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/131239/06072F6F-A2DE-4A89-A442-EF7EC1749911,https://www.boliga.dk//bbrinfo/06072f6f-a2de-4a89-a442-ef7ec1749911,"(55.73397141, 12.36104196)","Højagerparken 1, 1., 2750 Ballerup",0151,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,46, 1,46,Vandskyllende toilet i enheden,1, 1,-
7," Højagerparken 1, 2 2750 Ballerup ",517500.0,2013-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/131239/06072F6F-A2DE-4A89-A442-EF7EC1749911,https://www.boliga.dk//bbrinfo/06072f6f-a2de-4a89-a442-ef7ec1749911,"(55.73397141, 12.36104196)","Højagerparken 1, 1., 2750 Ballerup",0151,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,46, 1,46,Vandskyllende toilet i enheden,1, 1,-
10, Gyvelvænget 44 2750 Ballerup ,332882.0,2022-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/114849/C5E5DE41-AA73-4902-8FD2-EC5AFC56F679,https://www.boliga.dk//bbrinfo/c5e5de41-aa73-4902-8fd2-ec5afc56f679,"(55.71911959, 12.34233641)","Gyvelvænget 44, Tjørnebjerg, 2750 Ballerup",0151,Sommer-/fritidsbolig,Eget køkken med afløb,Kolonihavehus,Badeværelse i enheden,44, 1,44,Vandskyllende toilet i enheden,2, 1,-
11, Gyvelvænget 44 2750 Ballerup ,140000.0,2022-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/114849/C5E5DE41-AA73-4902-8FD2-EC5AFC56F679,https://www.boliga.dk//bbrinfo/c5e5de41-aa73-4902-8fd2-ec5afc56f679,"(55.71911959, 12.34233641)","Gyvelvænget 44, Tjørnebjerg, 2750 Ballerup",0151,Sommer-/fritidsbolig,Eget køkken med afløb,Kolonihavehus,Badeværelse i enheden,44, 1,44,Vandskyllende toilet i enheden,2, 1,-
12, Gyvelvænget 44 2750 Ballerup ,70000.0,2022-04-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/114849/C5E5DE41-AA73-4902-8FD2-EC5AFC56F679,https://www.boliga.dk//bbrinfo/c5e5de41-aa73-4902-8fd2-ec5afc56f679,"(55.71911959, 12.34233641)","Gyvelvænget 44, Tjørnebjerg, 2750 Ballerup",0151,Sommer-/fritidsbolig,Eget køkken med afløb,Kolonihavehus,Badeværelse i enheden,44, 1,44,Vandskyllende toilet i enheden,2, 1,-
13, Gyvelvænget 44 2750 Ballerup ,49000.0,2022-04-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/151/114849/C5E5DE41-AA73-4902-8FD2-EC5AFC56F679,https://www.boliga.dk//bbrinfo/c5e5de41-aa73-4902-8fd2-ec5afc56f679,"(55.71911959, 12.34233641)","Gyvelvænget 44, Tjørnebjerg, 2750 Ballerup",0151,Sommer-/fritidsbolig,Eget køkken med afløb,Kolonihavehus,Badeværelse i enheden,44, 1,44,Vandskyllende toilet i enheden,2, 1,-
