,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0, Bjergbakkevej 304 2600 Glostrup ,4800000.0,2022-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/161/2321/3B1DE8C9-BAE0-4C82-99F3-49B2A15D2066,https://www.boliga.dk//bbrinfo/3b1de8c9-bae0-4c82-99f3-49b2a15d2066,"(55.70157718, 12.4040015)","Bjergbakkevej 304, 2600 Glostrup",0161,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,123, 2,123,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
1," Brøndbyvestervej 66C, 1. 1 2605 Brøndby ",2715000.0,2022-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/153/37884/1BAF6906-9E3F-40B5-B3BB-81027CE96F66,https://www.boliga.dk//bbrinfo/1baf6906-9e3f-40b5-b3bb-81027ce96f66,"(55.65786603, 12.41062034)","Brøndbyvestervej 66C, 1. 1, 2605 Brøndby",0153,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,85, 1,85,Vandskyllende toilet i enheden,3, 1,-
2," Brøndbyvestervej 66C, 1. 1 2605 Brøndby ",496173.0,2011-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/153/37884/1BAF6906-9E3F-40B5-B3BB-81027CE96F66,https://www.boliga.dk//bbrinfo/1baf6906-9e3f-40b5-b3bb-81027ce96f66,"(55.65786603, 12.41062034)","Brøndbyvestervej 66C, 1. 1, 2605 Brøndby",0153,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,85, 1,85,Vandskyllende toilet i enheden,3, 1,-
3, Brandsbjergvej 28 2600 Glostrup ,1150000.0,2022-04-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/161/3247/11D30602-9F6D-4591-BD6F-AB853D5C3553,https://www.boliga.dk//bbrinfo/11d30602-9f6d-4591-bd6f-ab853d5c3553,"(55.70123588, 12.41043042)","Brandsbjergvej 28, 2600 Glostrup",0161,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,154, 2,154,Vandskyllende toilet i enheden,4, 2,-
4, Brandsbjergvej 28 2600 Glostrup ,2004125.0,2019-03-20, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/161/3247/11D30602-9F6D-4591-BD6F-AB853D5C3553,https://www.boliga.dk//bbrinfo/11d30602-9f6d-4591-bd6f-ab853d5c3553,"(55.70123588, 12.41043042)","Brandsbjergvej 28, 2600 Glostrup",0161,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,154, 2,154,Vandskyllende toilet i enheden,4, 2,-
5, Brandsbjergvej 28 2600 Glostrup ,3345000.0,2014-11-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/161/3247/11D30602-9F6D-4591-BD6F-AB853D5C3553,https://www.boliga.dk//bbrinfo/11d30602-9f6d-4591-bd6f-ab853d5c3553,"(55.70123588, 12.41043042)","Brandsbjergvej 28, 2600 Glostrup",0161,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,154, 2,154,Vandskyllende toilet i enheden,4, 2,-
6," Magnoliavej 20, 1. tv 2600 Glostrup ",1595000.0,2022-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/161/25062/4B267A58-C01A-427A-ACA1-F478FCD8FC60,https://www.boliga.dk//bbrinfo/4b267a58-c01a-427a-aca1-f478fcd8fc60,"(55.66059917, 12.40632259)","Magnoliavej 20, 1. th, 2600 Glostrup",0161,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,51, 1,51,Vandskyllende toilet i enheden,2, 1,-
7," Magnoliavej 20, 1. tv 2600 Glostrup ",1380000.0,2017-12-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/161/25062/4B267A58-C01A-427A-ACA1-F478FCD8FC60,https://www.boliga.dk//bbrinfo/4b267a58-c01a-427a-aca1-f478fcd8fc60,"(55.66059917, 12.40632259)","Magnoliavej 20, 1. th, 2600 Glostrup",0161,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,51, 1,51,Vandskyllende toilet i enheden,2, 1,-
8," Magnoliavej 20, 1. tv 2600 Glostrup ",850000.0,2015-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/161/25062/4B267A58-C01A-427A-ACA1-F478FCD8FC60,https://www.boliga.dk//bbrinfo/4b267a58-c01a-427a-aca1-f478fcd8fc60,"(55.66059917, 12.40632259)","Magnoliavej 20, 1. th, 2600 Glostrup",0161,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,51, 1,51,Vandskyllende toilet i enheden,2, 1,-
12, Hørmarksvej 34 2605 Brøndby ,1487500.0,2022-02-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/153/41881/37E7E2F4-1C6C-4BCE-8BBE-F165BAF9397A,https://www.boliga.dk//bbrinfo/37e7e2f4-1c6c-4bce-8bbe-f165baf9397a,"(55.65027889, 12.39106634)","Hørmarksvej 34, 2605 Brøndby",0153,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,118, 1,118,Vandskyllende toilet i enheden,5, 1,-
