,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Peder Skrams Gade 28, 3. th 1054 København K ",1785000.0,2022-03-08, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/431711/CB0F3934-0DB3-47E1-9AE7-5DC566F2AA35,https://www.boliga.dk//bbrinfo/cb0f3934-0db3-47e1-9ae7-5dc566f2aa35,"(55.6770155, 12.58935423)","Peder Skrams Gade 28, 1. th, 1054 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 1,-
1," Holbergsgade 13A, st 1057 København K ",5200000.0,2022-02-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/843688/EB4A9EE5-4ACF-4BEA-A2F6-39D1B41767BC,https://www.boliga.dk//bbrinfo/eb4a9ee5-4acf-4bea-a2f6-39d1b41767bc,"(55.67859043, 12.58911161)","Holbergsgade 13A, 1., 1057 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,86, 1,86,Vandskyllende toilet i enheden,3, 1,-
2," Holbergsgade 13A, st 1057 København K ",3200000.0,2018-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/843688/EB4A9EE5-4ACF-4BEA-A2F6-39D1B41767BC,https://www.boliga.dk//bbrinfo/eb4a9ee5-4acf-4bea-a2f6-39d1b41767bc,"(55.67859043, 12.58911161)","Holbergsgade 13A, 1., 1057 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,86, 1,86,Vandskyllende toilet i enheden,3, 1,-
3," Holbergsgade 13A, st 1057 København K ",2000000.0,2009-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/843688/EB4A9EE5-4ACF-4BEA-A2F6-39D1B41767BC,https://www.boliga.dk//bbrinfo/eb4a9ee5-4acf-4bea-a2f6-39d1b41767bc,"(55.67859043, 12.58911161)","Holbergsgade 13A, 1., 1057 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,86, 1,86,Vandskyllende toilet i enheden,3, 1,-
5," Nyhavn 14, 4 1051 København K ",10995000.0,2022-02-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/401960/4163480C-A104-44FE-A2E9-FB7AC829ECD8,https://www.boliga.dk//bbrinfo/4163480c-a104-44fe-a2e9-fb7ac829ecd8,"(55.67967824, 12.58993845)","Nyhavn 14, 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 2,169,Vandskyllende toilet i enheden,3, 2,-
6," Nyhavn 14, 4 1051 København K ",10200000.0,2021-04-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/401960/4163480C-A104-44FE-A2E9-FB7AC829ECD8,https://www.boliga.dk//bbrinfo/4163480c-a104-44fe-a2e9-fb7ac829ecd8,"(55.67967824, 12.58993845)","Nyhavn 14, 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,169, 2,169,Vandskyllende toilet i enheden,3, 2,-
7," Nyhavn 31E, 4. th 1051 København K ",7400000.0,2022-02-01, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/10117/A09B8E75-E504-41E1-9E3A-8910D95F55BC,https://www.boliga.dk//bbrinfo/a09b8e75-e504-41e1-9e3a-8910d95f55bc,"(55.68062459, 12.59070765)","Nyhavn 31E, 1., 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
8," Nyhavn 31E, 4. th 1051 København K ",7050000.0,2020-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10117/A09B8E75-E504-41E1-9E3A-8910D95F55BC,https://www.boliga.dk//bbrinfo/a09b8e75-e504-41e1-9e3a-8910d95f55bc,"(55.68062459, 12.59070765)","Nyhavn 31E, 1., 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
9," Nyhavn 31E, 4. th 1051 København K ",4790000.0,2014-02-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10117/A09B8E75-E504-41E1-9E3A-8910D95F55BC,https://www.boliga.dk//bbrinfo/a09b8e75-e504-41e1-9e3a-8910d95f55bc,"(55.68062459, 12.59070765)","Nyhavn 31E, 1., 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
10," Nyhavn 31E, 4. th 1051 København K ",3925000.0,2011-07-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10117/A09B8E75-E504-41E1-9E3A-8910D95F55BC,https://www.boliga.dk//bbrinfo/a09b8e75-e504-41e1-9e3a-8910d95f55bc,"(55.68062459, 12.59070765)","Nyhavn 31E, 1., 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
11," Nyhavn 31E, 5. th 1051 København K ",3700000.0,2022-01-30, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/10119/ADC3FCCD-99B0-4775-AC58-32B0E1B24428,https://www.boliga.dk//bbrinfo/adc3fccd-99b0-4775-ac58-32b0e1b24428,"(55.68062459, 12.59070765)","Nyhavn 31E, 1., 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,2, 1,-
12," Nyhavn 31E, 5. th 1051 København K ",5500000.0,2016-11-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10119/ADC3FCCD-99B0-4775-AC58-32B0E1B24428,https://www.boliga.dk//bbrinfo/adc3fccd-99b0-4775-ac58-32b0e1b24428,"(55.68062459, 12.59070765)","Nyhavn 31E, 1., 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,2, 1,-
13," Nyhavn 31E, 5. th 1051 København K ",3700000.0,2012-07-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/10119/ADC3FCCD-99B0-4775-AC58-32B0E1B24428,https://www.boliga.dk//bbrinfo/adc3fccd-99b0-4775-ac58-32b0e1b24428,"(55.68062459, 12.59070765)","Nyhavn 31E, 1., 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,2, 1,-
14," Herluf Trolles Gade 22, st. th 1052 København K ",7300000.0,2022-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/820068/CA40FEBF-210C-4DB8-AB26-7A07978EAFEA,https://www.boliga.dk//bbrinfo/ca40febf-210c-4db8-ab26-7a07978eafea,"(55.67851981, 12.59113952)","Herluf Trolles Gade 22, kl., 1052 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,3, 1,-
15," Herluf Trolles Gade 22, st. th 1052 København K ",5300000.0,2018-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/820068/CA40FEBF-210C-4DB8-AB26-7A07978EAFEA,https://www.boliga.dk//bbrinfo/ca40febf-210c-4db8-ab26-7a07978eafea,"(55.67851981, 12.59113952)","Herluf Trolles Gade 22, kl., 1052 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,3, 1,-
16," Herluf Trolles Gade 22, st. th 1052 København K ",4350000.0,2017-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/820068/CA40FEBF-210C-4DB8-AB26-7A07978EAFEA,https://www.boliga.dk//bbrinfo/ca40febf-210c-4db8-ab26-7a07978eafea,"(55.67851981, 12.59113952)","Herluf Trolles Gade 22, kl., 1052 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,3, 1,-
18," Nyhavn 31F, 2. mf 1051 København K ",2680000.0,2022-03-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/523900/991F5EBF-E8B6-4A81-A10C-6A459423C126,https://www.boliga.dk//bbrinfo/991f5ebf-e8b6-4a81-a10c-6a459423c126,"(55.68060799, 12.59134223)","Nyhavn 31F, 1. mf, 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,93, 1,93,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
19," Nyhavn 31F, 2. mf 1051 København K ",2680000.0,2021-01-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/523900/991F5EBF-E8B6-4A81-A10C-6A459423C126,https://www.boliga.dk//bbrinfo/991f5ebf-e8b6-4a81-a10c-6a459423c126,"(55.68060799, 12.59134223)","Nyhavn 31F, 1. mf, 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,93, 1,93,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
20," Nyhavn 31F, 2. mf 1051 København K ",6300000.0,2021-03-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/523900/991F5EBF-E8B6-4A81-A10C-6A459423C126,https://www.boliga.dk//bbrinfo/991f5ebf-e8b6-4a81-a10c-6a459423c126,"(55.68060799, 12.59134223)","Nyhavn 31F, 1. mf, 1051 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,93, 1,93,Vandskyllende toilet i enheden,2, 1,400 V el fra værk
22," Peder Skrams Gade 10, 2. tv 1054 København K ",6900000.0,2021-06-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/842894/A1974EA4-EB3D-475D-9F4F-05FD57ACAA5E,https://www.boliga.dk//bbrinfo/a1974ea4-eb3d-475d-9f4f-05fd57acaa5e,"(55.67849314, 12.58838626)","Peder Skrams Gade 10, 1054 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,3, 1,-
23," Peder Skrams Gade 10, 2. tv 1054 København K ",2250000.0,2018-04-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/842894/A1974EA4-EB3D-475D-9F4F-05FD57ACAA5E,https://www.boliga.dk//bbrinfo/a1974ea4-eb3d-475d-9f4f-05fd57acaa5e,"(55.67849314, 12.58838626)","Peder Skrams Gade 10, 1054 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,3, 1,-
