,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Frimestervej 3, 4. tv 2400 København NV ",977500.0,2022-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/166333/F3B63FD0-A2D3-42DE-AB3B-6B8156EAF7C7,https://www.boliga.dk//bbrinfo/f3b63fd0-a2d3-42de-ab3b-6b8156eaf7c7,"(55.7065876, 12.53660006)","Frimestervej 3, 3. th, 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,54, 1,54,Vandskyllende toilet i enheden,2, 1,-
1," Frimestervej 3, 4. tv 2400 København NV ",1295000.0,2007-02-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/166333/F3B63FD0-A2D3-42DE-AB3B-6B8156EAF7C7,https://www.boliga.dk//bbrinfo/f3b63fd0-a2d3-42de-ab3b-6b8156eaf7c7,"(55.7065876, 12.53660006)","Frimestervej 3, 3. th, 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,54, 1,54,Vandskyllende toilet i enheden,2, 1,-
4," Bisiddervej 10, 2. th 2400 København NV ",821445.0,2022-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/49671/62501C8D-A7BC-4468-ACBF-49778D590968,https://www.boliga.dk//bbrinfo/62501c8d-a7bc-4468-acbf-49778d590968,"(55.70628462, 12.53314778)","Bisiddervej 10, kl., 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,2, 1,-
5," Bisiddervej 10, 2. th 2400 København NV ",1500000.0,2007-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/49671/62501C8D-A7BC-4468-ACBF-49778D590968,https://www.boliga.dk//bbrinfo/62501c8d-a7bc-4468-acbf-49778d590968,"(55.70628462, 12.53314778)","Bisiddervej 10, kl., 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,2, 1,-
12," Banebrinken 91, 2. 9 2400 København NV ",864000.0,2022-05-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/758524/8A25CF83-C76A-41D6-ADA5-8D50C8619546,https://www.boliga.dk//bbrinfo/8a25cf83-c76a-41d6-ada5-8d50c8619546,"(55.72170401, 12.53972917)","Banebrinken 91, 1. 5, 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,67, 1,67,Vandskyllende toilet i enheden,2, 1,-
13," Banebrinken 91, 2. 9 2400 København NV ",1210000.0,2011-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/758524/8A25CF83-C76A-41D6-ADA5-8D50C8619546,https://www.boliga.dk//bbrinfo/8a25cf83-c76a-41d6-ada5-8d50c8619546,"(55.72170401, 12.53972917)","Banebrinken 91, 1. 5, 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,67, 1,67,Vandskyllende toilet i enheden,2, 1,-
15," Oldermandsvej 43, 2. tv 2400 København NV ",735500.0,2022-04-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/416887/653AA670-9171-4714-B5E6-03BF62964728,https://www.boliga.dk//bbrinfo/653aa670-9171-4714-b5e6-03bf62964728,"(55.70749284, 12.53794223)","Oldermandsvej 43, 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,57, 1,57,Vandskyllende toilet i enheden,2, 1,-
16," Oldermandsvej 43, 2. tv 2400 København NV ",1915000.0,2021-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/416887/653AA670-9171-4714-B5E6-03BF62964728,https://www.boliga.dk//bbrinfo/653aa670-9171-4714-b5e6-03bf62964728,"(55.70749284, 12.53794223)","Oldermandsvej 43, 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,57, 1,57,Vandskyllende toilet i enheden,2, 1,-
17," Oldermandsvej 43, 2. tv 2400 København NV ",1345000.0,2015-02-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/416887/653AA670-9171-4714-B5E6-03BF62964728,https://www.boliga.dk//bbrinfo/653aa670-9171-4714-b5e6-03bf62964728,"(55.70749284, 12.53794223)","Oldermandsvej 43, 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,57, 1,57,Vandskyllende toilet i enheden,2, 1,-
20," Borups Allé 245, 2. tv 2400 København NV ",460000.0,2022-03-30, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/64867/2D1FE91A-8658-4E8E-89A1-9AFAC5BEE68F,https://www.boliga.dk//bbrinfo/2d1fe91a-8658-4e8e-89a1-9afac5bee68f,"(55.7006972, 12.52041758)","Borups Allé 245, 1. th, 2400 København NV",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,2, 1,-
