,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Fiolstræde 28, 1. th 1171 København K ",2500000.0,2022-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/784533/4FEC7A6C-BCB6-41A9-B76E-B1F477534484,https://www.boliga.dk//bbrinfo/4fec7a6c-bcb6-41a9-b76e-b1f477534484,"(55.68147729, 12.57262179)","Fiolstræde 28, 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
1," Fiolstræde 28, 1. th 1171 København K ",2127500.0,2021-09-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/784533/4FEC7A6C-BCB6-41A9-B76E-B1F477534484,https://www.boliga.dk//bbrinfo/4fec7a6c-bcb6-41a9-b76e-b1f477534484,"(55.68147729, 12.57262179)","Fiolstræde 28, 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
2," Fiolstræde 28, 1. th 1171 København K ",2500000.0,2011-07-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/784533/4FEC7A6C-BCB6-41A9-B76E-B1F477534484,https://www.boliga.dk//bbrinfo/4fec7a6c-bcb6-41a9-b76e-b1f477534484,"(55.68147729, 12.57262179)","Fiolstræde 28, 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
5," Fiolstræde 30, 2 1171 København K ",4575000.0,2022-01-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/138542/22B7A1A5-FFF2-4674-A878-5E28C739B14D,https://www.boliga.dk//bbrinfo/22b7a1a5-fff2-4674-a878-5e28c739b14d,"(55.68157244, 12.57254994)","Fiolstræde 30, 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,73, 1,73,Vandskyllende toilet i enheden,3, 1,-
6," Fiolstræde 30, 2 1171 København K ",2300000.0,2017-01-03, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/138542/22B7A1A5-FFF2-4674-A878-5E28C739B14D,https://www.boliga.dk//bbrinfo/22b7a1a5-fff2-4674-a878-5e28c739b14d,"(55.68157244, 12.57254994)","Fiolstræde 30, 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,73, 1,73,Vandskyllende toilet i enheden,3, 1,-
7," Fiolstræde 30, 2 1171 København K ",2300000.0,2007-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/138542/22B7A1A5-FFF2-4674-A878-5E28C739B14D,https://www.boliga.dk//bbrinfo/22b7a1a5-fff2-4674-a878-5e28c739b14d,"(55.68157244, 12.57254994)","Fiolstræde 30, 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,73, 1,73,Vandskyllende toilet i enheden,3, 1,-
11," Fiolstræde 32, 1. tv 1171 København K ",4075000.0,2022-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/138267/71F7C4B3-FD51-410E-B18D-39DB06007096,https://www.boliga.dk//bbrinfo/71f7c4b3-fd51-410e-b18d-39db06007096,"(55.6816452, 12.57249404)","Fiolstræde 32, 4., 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,64, 1,64,Vandskyllende toilet i enheden,2, 1,-
12," Fiolstræde 32, 1. tv 1171 København K ",2600000.0,2020-04-01, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/101/138267/71F7C4B3-FD51-410E-B18D-39DB06007096,https://www.boliga.dk//bbrinfo/71f7c4b3-fd51-410e-b18d-39db06007096,"(55.6816452, 12.57249404)","Fiolstræde 32, 4., 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,64, 1,64,Vandskyllende toilet i enheden,2, 1,-
13," Fiolstræde 32, 1. tv 1171 København K ",1975000.0,2020-01-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/138267/71F7C4B3-FD51-410E-B18D-39DB06007096,https://www.boliga.dk//bbrinfo/71f7c4b3-fd51-410e-b18d-39db06007096,"(55.6816452, 12.57249404)","Fiolstræde 32, 4., 1171 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,64, 1,64,Vandskyllende toilet i enheden,2, 1,-
15," Peder Hvitfeldts Stræde 12, 2. th 1173 København K ",4000000.0,2021-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/971236/DB736F30-EC52-4CE9-BC3C-49D69F07F826,https://www.boliga.dk//bbrinfo/db736f30-ec52-4ce9-bc3c-49d69f07f826,"(55.68178951, 12.57398171)","Peder Hvitfeldts Stræde 12, 1173 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,3, 1,-
