,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Dybensgade 21, 3 1071 København K ",5250000.0,2021-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/890333/B4888A21-1B22-4758-A8BA-D7B3DF8C028F,https://www.boliga.dk//bbrinfo/b4888a21-1b22-4758-a8ba-d7b3df8c028f,"(55.67781104, 12.58240752)","Dybensgade 21, 1., 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,3, 1,-
1," Dybensgade 21, 3 1071 København K ",4900000.0,2019-09-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/890333/B4888A21-1B22-4758-A8BA-D7B3DF8C028F,https://www.boliga.dk//bbrinfo/b4888a21-1b22-4758-a8ba-d7b3df8c028f,"(55.67781104, 12.58240752)","Dybensgade 21, 1., 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,3, 1,-
2," Dybensgade 21, 3 1071 København K ",3595000.0,2013-02-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/890333/B4888A21-1B22-4758-A8BA-D7B3DF8C028F,https://www.boliga.dk//bbrinfo/b4888a21-1b22-4758-a8ba-d7b3df8c028f,"(55.67781104, 12.58240752)","Dybensgade 21, 1., 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,3, 1,-
3," Dybensgade 21, 3 1071 København K ",3350000.0,2008-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/890333/B4888A21-1B22-4758-A8BA-D7B3DF8C028F,https://www.boliga.dk//bbrinfo/b4888a21-1b22-4758-a8ba-d7b3df8c028f,"(55.67781104, 12.58240752)","Dybensgade 21, 1., 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,3, 1,-
9," Dybensgade 22, 2. th 1071 København K ",3850000.0,2021-10-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/807932/5EC7FD0C-70A4-44BC-A620-4C4CC066B40B,https://www.boliga.dk//bbrinfo/5ec7fd0c-70a4-44bc-a620-4c4cc066b40b,"(55.67794149, 12.58237745)","Dybensgade 22, 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
10," Dybensgade 22, 2. th 1071 København K ",0.0,2021-06-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/807932/5EC7FD0C-70A4-44BC-A620-4C4CC066B40B,https://www.boliga.dk//bbrinfo/5ec7fd0c-70a4-44bc-a620-4c4cc066b40b,"(55.67794149, 12.58237745)","Dybensgade 22, 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
12," Dybensgade 22, 2. tv 1071 København K ",943500.0,2020-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/807924/BE6792CB-44CD-4E76-AFE1-9AE4C9787E97,https://www.boliga.dk//bbrinfo/be6792cb-44cd-4e76-afe1-9ae4c9787e97,"(55.67794149, 12.58237745)","Dybensgade 22, 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
13," Dybensgade 22, 2. tv 1071 København K ",1600000.0,2009-11-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/807924/BE6792CB-44CD-4E76-AFE1-9AE4C9787E97,https://www.boliga.dk//bbrinfo/be6792cb-44cd-4e76-afe1-9ae4c9787e97,"(55.67794149, 12.58237745)","Dybensgade 22, 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
16," Dybensgade 24, 1 1071 København K ",3400000.0,2020-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/692353/490B5AC3-FB52-4001-89D2-042AF88841F1,https://www.boliga.dk//bbrinfo/490b5ac3-fb52-4001-89d2-042af88841f1,"(55.67789777, 12.58222434)","Dybensgade 24, 1., 1071 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,65, 1,65,Vandskyllende toilet i enheden,4, 1,-
17," Lille Kongensgade 6, 4 1074 København K ",1100000.0,2020-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/20863/B4047558-97A0-4858-A809-75EAEECCBC8C,https://www.boliga.dk//bbrinfo/b4047558-97a0-4858-a809-75eaeeccbc8c,"(55.6797138, 12.58436147)","Lille Kongensgade 6, 1074 København K",0101,Sommer-/fritidsbolig,Ingen fast kogeinstallation,Anden enhed til fritidsformål,Hverken badeværelse eller adgang til badeværelse,61, 0,0,Intet vandskyllende toilet,2, 0,-
