,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Grønningen 9, 4. th 1270 København K ",4900000.0,2022-02-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/192555/263DBC6F-7EBA-489D-B548-9A363C966AEC,https://www.boliga.dk//bbrinfo/263dbc6f-7eba-489d-b548-9a363c966aec,"(55.6884455, 12.59146979)","Grønningen 9, 1. th, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,65, 1,65,Vandskyllende toilet i enheden,2, 1,-
1," Grønningen 9, 4. th 1270 København K ",4650000.0,2020-12-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/192555/263DBC6F-7EBA-489D-B548-9A363C966AEC,https://www.boliga.dk//bbrinfo/263dbc6f-7eba-489d-b548-9a363c966aec,"(55.6884455, 12.59146979)","Grønningen 9, 1. th, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,65, 1,65,Vandskyllende toilet i enheden,2, 1,-
2," Grønningen 9, 4. th 1270 København K ",4250000.0,2019-04-06, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/192555/263DBC6F-7EBA-489D-B548-9A363C966AEC,https://www.boliga.dk//bbrinfo/263dbc6f-7eba-489d-b548-9a363c966aec,"(55.6884455, 12.59146979)","Grønningen 9, 1. th, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,65, 1,65,Vandskyllende toilet i enheden,2, 1,-
3," Grønningen 9, 4. th 1270 København K ",1530000.0,2015-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/192555/263DBC6F-7EBA-489D-B548-9A363C966AEC,https://www.boliga.dk//bbrinfo/263dbc6f-7eba-489d-b548-9a363c966aec,"(55.6884455, 12.59146979)","Grønningen 9, 1. th, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,65, 1,65,Vandskyllende toilet i enheden,2, 1,-
4," Grønningen 9, 4. th 1270 København K ",2300000.0,2014-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/192555/263DBC6F-7EBA-489D-B548-9A363C966AEC,https://www.boliga.dk//bbrinfo/263dbc6f-7eba-489d-b548-9a363c966aec,"(55.6884455, 12.59146979)","Grønningen 9, 1. th, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,65, 1,65,Vandskyllende toilet i enheden,2, 1,-
6," Grønningen 7, 3. tv 1270 København K ",5500000.0,2021-01-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/192393/C9E0129E-A1DD-48F4-841C-9990BE578398,https://www.boliga.dk//bbrinfo/c9e0129e-a1dd-48f4-841c-9990be578398,"(55.68831928, 12.59161643)","Grønningen 7, 1. mf, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,2, 1,-
7," Grønningen 7, 3. tv 1270 København K ",5150000.0,2020-12-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/192393/C9E0129E-A1DD-48F4-841C-9990BE578398,https://www.boliga.dk//bbrinfo/c9e0129e-a1dd-48f4-841c-9990be578398,"(55.68831928, 12.59161643)","Grønningen 7, 1. mf, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,2, 1,-
8," Grønningen 7, 3. tv 1270 København K ",1900000.0,2012-11-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/192393/C9E0129E-A1DD-48F4-841C-9990BE578398,https://www.boliga.dk//bbrinfo/c9e0129e-a1dd-48f4-841c-9990be578398,"(55.68831928, 12.59161643)","Grønningen 7, 1. mf, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,2, 1,-
9," Grønningen 7, 6. th 1270 København K ",7250000.0,2020-11-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/712893/21F3BA07-A063-424D-8DE5-C8CA9B392C8A,https://www.boliga.dk//bbrinfo/21f3ba07-a063-424d-8de5-c8ca9b392c8a,"(55.68831928, 12.59161643)","Grønningen 7, 1. mf, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,124, 1,124,Vandskyllende toilet i enheden,2, 1,-
17," Grønningen 7, 2. tv 1270 København K ",1657500.0,2019-08-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/192377/626647DA-C04E-45B4-A7CF-3682020E37F0,https://www.boliga.dk//bbrinfo/626647da-c04e-45b4-a7cf-3682020e37f0,"(55.68831928, 12.59161643)","Grønningen 7, 1. mf, 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,74, 1,74,Vandskyllende toilet i enheden,2, 1,-
20," Grønningen 5, st 1270 København K ",25500000.0,2019-05-08, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/192245/C76C69E3-58A3-4058-804C-C033A937F80F,https://www.boliga.dk//bbrinfo/c76c69e3-58a3-4058-804c-c033a937f80f,"(55.68819497, 12.59177438)","Grønningen 5, 5., 1270 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,341, 1,341,Vandskyllende toilet i enheden,7, 2,-
