,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Skodsborgparken 20, st. th 2942 Skodsborg ",6125000.0,2022-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/10411/E97C1253-2ADC-484C-ADE8-8F4729DB3985,https://www.boliga.dk//bbrinfo/e97c1253-2adc-484c-ade8-8f4729db3985,"(55.82259777, 12.57292181)","Skodsborgparken 20, 4., 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,125, 2,125,Vandskyllende toilet i enheden,3, 2,400 V el fra værk
3, Skodsborg Strandvej 114 2942 Skodsborg ,45000000.0,2022-08-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/7203/09FEC984-1108-4051-B763-CF16CDFA6F2E,https://www.boliga.dk//bbrinfo/09fec984-1108-4051-b763-cf16cdfa6f2e,"(55.81565266, 12.57522577)","Skodsborg Strandvej 114, 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,321, 2,321,Vandskyllende toilet i enheden,7, 5,-
4, Skodsborg Strandvej 114 2942 Skodsborg ,43000000.0,2021-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/7203/09FEC984-1108-4051-B763-CF16CDFA6F2E,https://www.boliga.dk//bbrinfo/09fec984-1108-4051-b763-cf16cdfa6f2e,"(55.81565266, 12.57522577)","Skodsborg Strandvej 114, 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,321, 2,321,Vandskyllende toilet i enheden,7, 5,-
6," Skodsborg Strandvej 211, 1. th 2942 Skodsborg ",6245000.0,2022-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/9325/40463547-B7CB-488F-968C-A8D5CFA7E4CA,https://www.boliga.dk//bbrinfo/40463547-b7cb-488f-968c-a8d5cfa7e4ca,"(55.82671379, 12.57410896)","Skodsborg Strandvej 211, 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,90, 1,90,Vandskyllende toilet i enheden,3, 1,-
7," Skodsborg Strandvej 211, 1. th 2942 Skodsborg ",1775000.0,2009-07-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/9325/40463547-B7CB-488F-968C-A8D5CFA7E4CA,https://www.boliga.dk//bbrinfo/40463547-b7cb-488f-968c-a8d5cfa7e4ca,"(55.82671379, 12.57410896)","Skodsborg Strandvej 211, 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,90, 1,90,Vandskyllende toilet i enheden,3, 1,-
10," Skodsborgparken 32, 2. tv 2942 Skodsborg ",5100000.0,2022-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/10035/C523683F-9F71-4EF4-9C40-7AC9BB1BB0D0,https://www.boliga.dk//bbrinfo/c523683f-9f71-4ef4-9c40-7ac9bb1bb0d0,"(55.82387585, 12.57291834)","Skodsborgparken 32, 1. th, 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,2, 1,-
11," Skodsborgparken 32, 2. tv 2942 Skodsborg ",4100000.0,2020-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/10035/C523683F-9F71-4EF4-9C40-7AC9BB1BB0D0,https://www.boliga.dk//bbrinfo/c523683f-9f71-4ef4-9c40-7ac9bb1bb0d0,"(55.82387585, 12.57291834)","Skodsborgparken 32, 1. th, 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,2, 1,-
15, Gyvelvej 2 2942 Skodsborg ,9700000.0,2022-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/10351/720C033B-9F7F-435B-B323-7D69B7501C72,https://www.boliga.dk//bbrinfo/720c033b-9f7f-435b-b323-7d69b7501c72,"(55.83613643, 12.56785484)","Gyvelvej 2, 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,211, 1,211,Vandskyllende toilet i enheden,7, 2,-
16, Gyvelvej 2 2942 Skodsborg ,9400000.0,2017-09-01, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/230/10351/720C033B-9F7F-435B-B323-7D69B7501C72,https://www.boliga.dk//bbrinfo/720c033b-9f7f-435b-b323-7d69b7501c72,"(55.83613643, 12.56785484)","Gyvelvej 2, 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Badeværelse i enheden,211, 1,211,Vandskyllende toilet i enheden,7, 2,-
20," Skodsborgparken 48, 4. tv 2942 Skodsborg ",5600000.0,2022-02-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/230/9963/5184E5E3-A5BF-4DBA-9BC0-CFA2146ACD03,https://www.boliga.dk//bbrinfo/5184e5e3-a5bf-4dba-9bc0-cfa2146acd03,"(55.82532622, 12.57285896)","Skodsborgparken 48, 5., 2942 Skodsborg",0230,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,2, 1,-
