,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0, Biskop Monrads Vej 3 2830 Virum ,4600000.0,2022-04-06, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/173/11997/F445D0AB-DE4C-4D05-993E-347E49932667,https://www.boliga.dk//bbrinfo/f445d0ab-de4c-4d05-993e-347e49932667,"(55.78222582, 12.46257579)","Biskop Monrads Vej 3, 2830 Virum",Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,138, 2,104,Vandskyllende toilet i enheden,6, 2,-
1, Biskop Monrads Vej 3 2830 Virum ,4100000.0,2013-11-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/11997/F445D0AB-DE4C-4D05-993E-347E49932667,https://www.boliga.dk//bbrinfo/f445d0ab-de4c-4d05-993e-347e49932667,"(55.78222582, 12.46257579)","Biskop Monrads Vej 3, 2830 Virum",Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,138, 2,104,Vandskyllende toilet i enheden,6, 2,-
2, Virum Stationsvej 53 2830 Virum ,8400000.0,2022-04-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/145853/63974F18-CBAB-47A7-8190-B0750CCA29EC,https://www.boliga.dk//bbrinfo/63974f18-cbab-47a7-8190-b0750cca29ec,"(55.79149166, 12.46765414)","Virum Stationsvej 53, 2830 Virum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,163, 2,163,Vandskyllende toilet i enheden,5, 2,-
3, Virum Stationsvej 53 2830 Virum ,3700000.0,2014-07-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/145853/63974F18-CBAB-47A7-8190-B0750CCA29EC,https://www.boliga.dk//bbrinfo/63974f18-cbab-47a7-8190-b0750cca29ec,"(55.79149166, 12.46765414)","Virum Stationsvej 53, 2830 Virum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,163, 2,163,Vandskyllende toilet i enheden,5, 2,-
4, Søndervej 54A 2830 Virum ,1240000.0,2022-09-02, Handelstype Salg i øvrigt,https://www.boliga.dk//salg/info/173/135017/D82F5347-7D1A-49D7-976B-04F4F5CF9FE6,https://www.boliga.dk//bbrinfo/d82f5347-7d1a-49d7-976b-04f4f5cf9fe6,"(55.79470821, 12.45063549)","Søndervej 54A, 2830 Virum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,202, 2,202,Vandskyllende toilet i enheden,6, 2,400 V el fra værk
5, Søndervej 54A 2830 Virum ,12700000.0,2021-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/135017/D82F5347-7D1A-49D7-976B-04F4F5CF9FE6,https://www.boliga.dk//bbrinfo/d82f5347-7d1a-49d7-976b-04f4f5cf9fe6,"(55.79470821, 12.45063549)","Søndervej 54A, 2830 Virum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,202, 2,202,Vandskyllende toilet i enheden,6, 2,400 V el fra værk
8, Lindevangen 83 2830 Virum ,6400000.0,2022-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/94248/58671EB1-1243-4568-9BD3-DBB908545C24,https://www.boliga.dk//bbrinfo/58671eb1-1243-4568-9bd3-dbb908545c24,"(55.79614811, 12.49195067)","Lindevangen 83, 2830 Virum",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,112, 1,112,Vandskyllende toilet i enheden,4, 1,-
9, Lindevangen 83 2830 Virum ,3700000.0,2008-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/94248/58671EB1-1243-4568-9BD3-DBB908545C24,https://www.boliga.dk//bbrinfo/58671eb1-1243-4568-9bd3-dbb908545c24,"(55.79614811, 12.49195067)","Lindevangen 83, 2830 Virum",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,112, 1,112,Vandskyllende toilet i enheden,4, 1,-
10, Birkevang 33 2830 Virum ,4975000.0,2022-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/10915/CBEE1B71-8D7D-456F-B1C2-A41504EE5FDC,https://www.boliga.dk//bbrinfo/cbee1b71-8d7d-456f-b1c2-a41504ee5fdc,"(55.7946436, 12.48451005)","Birkevang 33, 2830 Virum",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,71, 1,71,Vandskyllende toilet i enheden,3, 1,-
11, Birkevang 33 2830 Virum ,3200000.0,2021-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/173/10915/CBEE1B71-8D7D-456F-B1C2-A41504EE5FDC,https://www.boliga.dk//bbrinfo/cbee1b71-8d7d-456f-b1c2-a41504ee5fdc,"(55.7946436, 12.48451005)","Birkevang 33, 2830 Virum",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,71, 1,71,Vandskyllende toilet i enheden,3, 1,-
