,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Soldugvej 18, 2. tv 2770 Kastrup ",2280000.0,2022-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/185/33090/1208458F-FCCD-4575-AB71-E80155D80D1C,https://www.boliga.dk//bbrinfo/1208458f-fccd-4575-ab71-e80155d80d1c,"(55.64014946, 12.63453894)","Soldugvej 18, 1. mf, 2770 Kastrup",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,57, 1,57,Vandskyllende toilet i enheden,2, 1,-
1," Soldugvej 18, 2. tv 2770 Kastrup ",2024700.0,2018-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/185/33090/1208458F-FCCD-4575-AB71-E80155D80D1C,https://www.boliga.dk//bbrinfo/1208458f-fccd-4575-ab71-e80155d80d1c,"(55.64014946, 12.63453894)","Soldugvej 18, 1. mf, 2770 Kastrup",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,57, 1,57,Vandskyllende toilet i enheden,2, 1,-
2," Soldugvej 18, 2. tv 2770 Kastrup ",820000.0,2009-09-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/185/33090/1208458F-FCCD-4575-AB71-E80155D80D1C,https://www.boliga.dk//bbrinfo/1208458f-fccd-4575-ab71-e80155d80d1c,"(55.64014946, 12.63453894)","Soldugvej 18, 1. mf, 2770 Kastrup",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,57, 1,57,Vandskyllende toilet i enheden,2, 1,-
3, Teglkåsvej 12 2770 Kastrup ,1725000.0,2022-04-06, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/185/112608/AEBECA52-B7F6-439C-9BB0-96AE2B73D0CA,https://www.boliga.dk//bbrinfo/aebeca52-b7f6-439c-9bb0-96ae2b73d0ca,"(55.63263739, 12.61905749)","Teglkåsvej 12, 2770 Kastrup",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,110, 2,110,Vandskyllende toilet i enheden,4, 2,-
4, Teglkåsvej 12 2770 Kastrup ,0.0,2010-05-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/185/112608/AEBECA52-B7F6-439C-9BB0-96AE2B73D0CA,https://www.boliga.dk//bbrinfo/aebeca52-b7f6-439c-9bb0-96ae2b73d0ca,"(55.63263739, 12.61905749)","Teglkåsvej 12, 2770 Kastrup",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,110, 2,110,Vandskyllende toilet i enheden,4, 2,-
5, Kastrupvej 210 2770 Kastrup ,1827500.0,2022-04-06, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/185/66169/C1D42FCE-3ECC-4132-8680-CFD9E29CC40C,https://www.boliga.dk//bbrinfo/c1d42fce-3ecc-4132-8680-cfd9e29cc40c,"(55.64353198, 12.62906845)","Kastrupvej 210, 2770 Kastrup",Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Detailhandel m.v.,Badeværelse i enheden,259, 1,77,Vandskyllende toilet i enheden,6, 2,-
6, Kastrupvej 210 2770 Kastrup ,2400000.0,2017-12-08, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/185/66169/C1D42FCE-3ECC-4132-8680-CFD9E29CC40C,https://www.boliga.dk//bbrinfo/c1d42fce-3ecc-4132-8680-cfd9e29cc40c,"(55.64353198, 12.62906845)","Kastrupvej 210, 2770 Kastrup",Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Detailhandel m.v.,Badeværelse i enheden,259, 1,77,Vandskyllende toilet i enheden,6, 2,-
7, Kastrupvej 210 2770 Kastrup ,2500000.0,2016-11-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/185/66169/C1D42FCE-3ECC-4132-8680-CFD9E29CC40C,https://www.boliga.dk//bbrinfo/c1d42fce-3ecc-4132-8680-cfd9e29cc40c,"(55.64353198, 12.62906845)","Kastrupvej 210, 2770 Kastrup",Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Detailhandel m.v.,Badeværelse i enheden,259, 1,77,Vandskyllende toilet i enheden,6, 2,-
8, Kastrupvej 210 2770 Kastrup ,1200000.0,2016-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/185/66169/C1D42FCE-3ECC-4132-8680-CFD9E29CC40C,https://www.boliga.dk//bbrinfo/c1d42fce-3ecc-4132-8680-cfd9e29cc40c,"(55.64353198, 12.62906845)","Kastrupvej 210, 2770 Kastrup",Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,Detailhandel m.v.,Badeværelse i enheden,259, 1,77,Vandskyllende toilet i enheden,6, 2,-
11, Stendal 4 2770 Kastrup ,1572500.0,2022-04-04, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/185/107337/AEA48362-9898-4F58-B790-BC315CB69838,https://www.boliga.dk//bbrinfo/aea48362-9898-4f58-b790-bc315cb69838,"(55.6397584, 12.61391477)","Stendal 4, 2770 Kastrup",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,86, 1,86,Vandskyllende toilet i enheden,4, 1,-
