,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Vesterbrogade 54, 3 1620 København V ",10000000.0,2022-02-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/805689/15A39D94-9805-431C-95EC-89F95E9B2F5A,https://www.boliga.dk//bbrinfo/15a39d94-9805-431c-95ec-89f95e9b2f5a,"(55.67263743, 12.55390423)","Vesterbrogade 54, 1620 København V",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,249, 1,197,Vandskyllende toilet i enheden,7, 1,-
1," Vesterbrogade 54, 3 1620 København V ",7050000.0,2018-07-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/805689/15A39D94-9805-431C-95EC-89F95E9B2F5A,https://www.boliga.dk//bbrinfo/15a39d94-9805-431c-95ec-89f95e9b2f5a,"(55.67263743, 12.55390423)","Vesterbrogade 54, 1620 København V",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,249, 1,197,Vandskyllende toilet i enheden,7, 1,-
2," Vesterbrogade 54, 3 1620 København V ",4800000.0,2013-06-03, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/805689/15A39D94-9805-431C-95EC-89F95E9B2F5A,https://www.boliga.dk//bbrinfo/15a39d94-9805-431c-95ec-89f95e9b2f5a,"(55.67263743, 12.55390423)","Vesterbrogade 54, 1620 København V",0101,Blandet erhverv og bolig med eget køkken,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,249, 1,197,Vandskyllende toilet i enheden,7, 1,-
8," Kingosgade 2, 4. th 1623 København V ",4506000.0,2022-06-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/897567/2292943A-28EA-4934-ACF3-ED51D54306D6,https://www.boliga.dk//bbrinfo/2292943a-28ea-4934-acf3-ed51d54306d6,"(55.67181367, 12.54561278)","Kingosgade 2, 2. th, 1623 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
9," Kingosgade 2, 4. th 1623 København V ",2545000.0,2007-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/897567/2292943A-28EA-4934-ACF3-ED51D54306D6,https://www.boliga.dk//bbrinfo/2292943a-28ea-4934-acf3-ed51d54306d6,"(55.67181367, 12.54561278)","Kingosgade 2, 2. th, 1623 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,78, 1,78,Vandskyllende toilet i enheden,3, 1,-
13," Vesterbrogade 106B, 3. tv 1620 København V ",5800000.0,2022-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/897664/020D1288-5B7B-4846-AAA0-0F3B08B5F907,https://www.boliga.dk//bbrinfo/020d1288-5b7b-4846-aaa0-0f3b08b5f907,"(55.67172796, 12.54575012)","Vesterbrogade 106B, 1620 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,114, 1,114,Vandskyllende toilet i enheden,4, 1,-
14," Vesterbrogade 106B, 3. tv 1620 København V ",4600000.0,2016-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/897664/020D1288-5B7B-4846-AAA0-0F3B08B5F907,https://www.boliga.dk//bbrinfo/020d1288-5b7b-4846-aaa0-0f3b08b5f907,"(55.67172796, 12.54575012)","Vesterbrogade 106B, 1620 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,114, 1,114,Vandskyllende toilet i enheden,4, 1,-
15," Vesterbrogade 106B, 3. tv 1620 København V ",3150000.0,2011-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/897664/020D1288-5B7B-4846-AAA0-0F3B08B5F907,https://www.boliga.dk//bbrinfo/020d1288-5b7b-4846-aaa0-0f3b08b5f907,"(55.67172796, 12.54575012)","Vesterbrogade 106B, 1620 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,114, 1,114,Vandskyllende toilet i enheden,4, 1,-
19," Vesterbrogade 39, 2. tv 1620 København V ",9750000.0,2022-01-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/962784/1CF49510-A241-4E45-9D01-D34C7AFBEADB,https://www.boliga.dk//bbrinfo/1cf49510-a241-4e45-9d01-d34c7afbeadb,"(55.67245683, 12.55696627)","Vesterbrogade 39, 1620 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,224, 1,224,Vandskyllende toilet i enheden,5, 1,-
21," Vesterbrogade 41B, 2 1620 København V ",8750000.0,2021-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/985253/F71E99F9-EAC9-4514-AEE8-0A9B31742535,https://www.boliga.dk//bbrinfo/f71e99f9-eac9-4514-aee8-0a9b31742535,"(55.67229512, 12.55640648)","Vesterbrogade 41B, 1., 1620 København V",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,183, 1,183,Vandskyllende toilet i enheden,5, 1,-
