,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0, Kongeskrænten 9 2765 Smørum ,4500000.0,2022-04-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/240/16259/64A406AF-B2F9-4D1F-AFC7-0C21D77F5369,https://www.boliga.dk//bbrinfo/64a406af-b2f9-4d1f-afc7-0c21d77f5369,"(55.74676719, 12.2879755)","Kongeskrænten 9, Smørumnedre, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,130, 2,130,Vandskyllende toilet i enheden,6, 2,-
1, Kongehaven 13 2765 Smørum ,8500000.0,2022-04-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/240/3707/41D29BA5-D719-4E10-AC79-F12B9125CDD3,https://www.boliga.dk//bbrinfo/41d29ba5-d719-4e10-ac79-f12b9125cdd3,"(55.74420914, 12.29185488)","Kongehaven 13, Smørumnedre, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,264, 2,264,Vandskyllende toilet i enheden,7, 3,400 V el fra værk
3, Ledøje Bygade 32 2765 Smørum ,9010000.0,2022-03-30, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/240/197/AC7E8B96-177E-4323-9C8F-8D846624AB37,https://www.boliga.dk//bbrinfo/ac7e8b96-177e-4323-9c8f-8d846624ab37,"(55.70964513, 12.30289348)","Ledøje Bygade 32, Ledøje, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,Stuehus til landbrugsejendom,Badeværelse i enheden,368, 3,368,Vandskyllende toilet i enheden,10, 3,-
4, Folekær 1 2765 Smørum ,4518000.0,2022-03-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/240/621/28F3CEF6-CC83-435B-9E00-B800C7A75EA1,https://www.boliga.dk//bbrinfo/28f3cef6-cc83-435b-9e00-b800c7a75ea1,"(55.73657418, 12.29701366)","Folekær 1, Smørumnedre, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,166, 1,166,Vandskyllende toilet i enheden,6, 2,400 V el fra værk
5, Ulborgvej 42 2760 Måløv ,860000.0,2022-07-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/151/83994/600CDA74-55E7-44F2-8A6E-F8561A2B7157,https://www.boliga.dk//bbrinfo/600cda74-55e7-44f2-8a6e-f8561a2b7157,"(55.74757844, 12.32810633)","Ulborgvej 42, 2760 Måløv",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,127, 2,127,Vandskyllende toilet i enheden,5, 2,-
8, Ledøje Nordre Gade 11 2765 Smørum ,5630000.0,2022-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/240/223/33DA2D33-C061-4794-9B9F-F1ACC4F9F217,https://www.boliga.dk//bbrinfo/33da2d33-c061-4794-9b9f-f1acc4f9f217,"(55.71047658, 12.30221618)","Ledøje Nordre Gade 11, Ledøje, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,147, 2,147,Vandskyllende toilet i enheden,4, 2,-
9, Ledøje Nordre Gade 11 2765 Smørum ,4795000.0,2020-08-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/240/223/33DA2D33-C061-4794-9B9F-F1ACC4F9F217,https://www.boliga.dk//bbrinfo/33da2d33-c061-4794-9b9f-f1acc4f9f217,"(55.71047658, 12.30221618)","Ledøje Nordre Gade 11, Ledøje, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,147, 2,147,Vandskyllende toilet i enheden,4, 2,-
10, Ledøje Nordre Gade 11 2765 Smørum ,4600000.0,2019-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/240/223/33DA2D33-C061-4794-9B9F-F1ACC4F9F217,https://www.boliga.dk//bbrinfo/33da2d33-c061-4794-9b9f-f1acc4f9f217,"(55.71047658, 12.30221618)","Ledøje Nordre Gade 11, Ledøje, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,147, 2,147,Vandskyllende toilet i enheden,4, 2,-
11, Ledøje Nordre Gade 11 2765 Smørum ,2400000.0,2017-12-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/240/223/33DA2D33-C061-4794-9B9F-F1ACC4F9F217,https://www.boliga.dk//bbrinfo/33da2d33-c061-4794-9b9f-f1acc4f9f217,"(55.71047658, 12.30221618)","Ledøje Nordre Gade 11, Ledøje, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,147, 2,147,Vandskyllende toilet i enheden,4, 2,-
12, Ledøje Nordre Gade 11 2765 Smørum ,2400000.0,2017-12-20, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/240/223/33DA2D33-C061-4794-9B9F-F1ACC4F9F217,https://www.boliga.dk//bbrinfo/33da2d33-c061-4794-9b9f-f1acc4f9f217,"(55.71047658, 12.30221618)","Ledøje Nordre Gade 11, Ledøje, 2765 Smørum",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,147, 2,147,Vandskyllende toilet i enheden,4, 2,-
